#{"t_start": 1774651265.5757847, "env_id": "None"}
r,l,t
-54.539447,18,0.072546
-52.790304,29,0.132279
-5.746068,27,0.193218
-55.367252,81,0.308588
-46.556334,34,0.367441
-84.222358,120,0.567668
-53.913633,62,0.674199
-52.928178,69,0.777447
-65.755165,106,0.93649
-35.311521,27,0.981423
-45.552891,36,1.023618
-24.442242,21,1.048906
-61.481976,37,1.096539
-56.87969,100,1.205942
-76.826785,83,1.292
-17.452406,36,1.332052
-74.970923,40,1.381286
-25.49982,36,1.426353
-65.255255,25,1.456828
-73.13021,57,1.527446
-89.53428,130,1.663152
-54.950675,53,1.725405
-58.704921,36,1.782922
-9.822352,23,1.822307
-56.179433,53,1.88982
-39.019002,50,1.980909
-62.254179,38,2.060316
-42.89329,26,2.100327
-23.208213,56,2.170309
-55.449907,30,2.210329
-30.074041,30,2.251201
-20.441252,30,2.296857
-69.216634,29,2.337039
-50.412541,69,2.416181
-16.080164,9,2.43588
-73.031012,41,2.487589
-25.939785,49,2.561347
-50.109982,98,2.666565
-108.651225,88,2.762261
-59.657085,26,2.794176
-62.930283,64,4.703727
-18.24252,62,4.767752
-54.634286,76,4.860482
-15.152054,16,4.883063
-59.880148,68,4.981219
-39.361429,72,5.080033
-26.942391,22,5.118404
-83.110683,143,5.287529
-38.308607,150,5.44443
-41.494153,59,5.510658
-48.72618,57,5.587584
-31.938527,90,5.698698
-53.606283,47,5.748437
-40.895342,104,5.855648
-42.931001,29,5.89022
-71.306497,34,5.929898
-62.52683,27,5.964364
-74.876742,139,6.15917
-60.835522,127,6.337281
-87.924469,81,6.427964
-13.333973,47,6.479796
-50.501441,116,6.602691
-45.541121,81,6.704429
-86.62747,70,6.777237
-16.147096,23,6.806547
-28.413195,110,6.919168
-61.87328,86,7.008252
-48.038302,97,8.95515
-61.804687,34,9.004107
-81.424464,150,9.191437
-38.074204,86,9.321414
-80.788414,116,9.467873
-58.503846,38,9.513611
-49.069806,91,9.607649
-78.652993,90,9.711817
-13.839692,76,9.794217
-25.27722,89,9.884646
-24.397045,84,9.971807
-50.071914,102,12.589134
-53.193439,52,12.672853
-70.088647,129,12.824951
-44.579572,50,12.880181
-64.402715,33,12.924054
-11.450957,62,13.004384
-51.354567,134,13.140191
-83.538251,150,13.305378
-61.274361,21,13.334429
-18.139778,65,13.405513
