#{"t_start": 1775177787.0761526, "env_id": "None"}
r,l,t
-20.916555,195,0.383952
64.94038,30,0.486845
55.978335,38,0.611822
13.553844,86,0.802907
-27.473443,156,1.034122
-50.096111,223,1.358947
-5.734162,97,1.55833
28.926336,123,1.766459
58.882893,47,1.898161
26.984346,88,2.066116
-10.301235,138,2.280941
18.253339,135,2.491209
24.237595,122,2.668437
-16.308219,104,2.865913
5.360745,69,3.023373
41.310621,143,3.254464
41.119434,69,3.385498
35.264475,118,3.594568
17.562699,227,5.664201
-9.600416,156,5.906136
-17.107225,139,6.146062
15.625484,96,6.315936
12.110071,78,6.467643
34.779146,98,6.649791
34.950207,37,6.753232
-11.773945,91,6.948114
39.449204,44,7.070443
29.876397,69,7.221241
0.652369,167,7.479218
34.44668,29,7.580158
10.699098,65,7.715709
24.335894,75,7.882736
32.943439,91,8.058538
-8.372631,169,8.309791
-8.155623,138,8.517297
29.881124,34,8.649736
29.170627,86,8.818001
35.60433,74,8.989326
43.724576,115,9.186721
20.459899,84,10.896743
13.802868,98,11.087729
24.017782,118,11.301155
-0.413982,138,11.508312
-9.7619,128,11.721929
83.000214,28,11.825666
-17.080086,104,12.033236
23.508415,70,12.172732
-48.679309,357,19.349309
38.755554,62,19.503073
18.933403,144,19.735001
57.19883,61,19.985815
22.605263,78,20.40976
2.95429,81,20.729563
35.780303,113,21.151911
15.333914,150,21.538201
12.723925,102,21.737767
14.025869,51,21.874279
18.029335,115,22.0876
16.563733,136,23.882804
68.646331,24,23.993172
29.853491,100,24.180507
36.766325,67,24.358303
-33.072017,186,24.615918
15.121048,81,24.758397
36.557314,64,24.906635
6.060669,76,25.078147
52.899205,87,25.240757
11.772474,74,25.425378
49.10382,90,25.598909
-17.216896,249,25.942773
31.916396,39,26.052605
14.831697,87,26.203794
26.330654,58,26.341737
63.605195,57,26.491547
28.707425,57,26.613238
37.143742,55,26.763002
8.838314,66,26.980807
-12.472991,108,27.459043
29.498306,125,27.740492
6.57173,131,28.010662
-4.649923,78,29.849803
32.174442,67,30.020018
25.240632,120,30.221375
27.295749,143,30.440893
67.855141,55,30.588931
8.842554,209,30.884523
9.289457,131,31.117047
-0.709292,129,31.34148
-1.615723,111,31.529635
65.356355,69,31.694805
11.165547,47,31.819072
37.727316,56,31.962377
22.408377,151,32.185336
3.353062,87,32.351592
41.00402,17,32.4543
19.398862,80,32.605618
22.720268,41,32.721597
54.019423,176,33.00349
14.45938,48,33.13707
53.364959,56,40.123595
8.634557,154,40.371982
43.840523,60,42.267547
24.603324,42,42.420088
17.014842,75,42.589301
20.075084,58,42.737362
15.864416,67,42.878472
