#{"t_start": 1775324424.4697635, "env_id": "None"}
r,l,t
54.544462,70,4.090804
66.280226,77,4.282841
43.17282,88,4.606582
54.10209,74,4.840075
71.421431,30,4.997128
31.544913,164,5.404454
111.833049,100,5.707001
33.781851,113,6.016774
62.018391,84,6.361199
77.381661,42,6.698686
78.020639,93,7.572156
-6.344203,211,8.137557
45.695823,83,8.430494
32.008033,110,8.782561
-18.189861,242,9.385401
108.247719,20,9.578383
42.152557,58,9.821272
42.907162,98,10.177042
70.66931,50,10.388108
54.581125,124,10.720543
59.950135,33,10.914013
51.584727,74,11.201153
88.102764,15,11.36814
29.837184,160,11.784437
55.725983,26,11.974807
82.139233,45,12.165418
16.520594,132,12.502677
78.501072,76,12.799051
46.966802,92,13.111175
-14.842743,242,13.637619
53.499629,55,13.888416
50.540335,80,14.130318
37.485264,87,14.398373
51.959461,69,14.653639
15.494448,165,15.064431
49.239062,52,15.263237
47.189346,76,15.507131
88.28918,79,15.76664
51.436628,72,16.026121
-59.341851,285,16.63134
50.866954,78,16.891289
78.840133,69,17.128049
78.320525,61,17.396308
59.657145,121,17.771073
23.894047,146,18.157418
34.150617,102,18.489855
59.102919,39,18.712188
84.489358,29,18.905312
28.931883,134,19.262567
56.621936,47,19.48491
67.777517,75,19.751091
70.980369,57,20.018377
20.564115,109,20.325904
32.262901,76,20.606865
79.150378,61,32.034898
99.1784,72,32.327239
73.08377,86,32.581048
68.481409,64,32.829994
95.673628,65,33.233164
56.346577,83,33.538071
73.714651,45,33.794246
43.703361,128,34.149151
56.346431,40,34.373006
61.757569,37,34.576771
66.528641,57,34.800138
103.150757,58,35.050582
48.176637,59,35.277378
88.725955,74,35.58424
51.527434,172,36.010152
54.280995,70,36.263719
52.255388,81,36.535655
24.458092,152,36.907575
99.103257,54,37.153171
73.965916,43,37.38247
35.574865,117,37.693322
65.050214,69,37.970737
146.082568,42,38.184874
87.386646,43,38.378057
47.926385,65,38.643496
35.038616,85,38.965974
75.468669,51,39.245869
14.351688,157,39.67094
86.149994,60,39.904592
56.173117,37,40.126157
59.871679,130,40.472048
120.877135,47,40.711583
84.963237,30,40.903232
110.463006,41,41.109102
44.164782,90,41.425591
-15.615104,227,42.027736
58.355715,47,42.239534
109.880081,39,42.444844
63.541529,40,42.68082
43.496899,66,42.902043
80.405288,35,43.094029
27.020111,188,43.567042
62.536934,81,43.838484
39.825899,93,44.138245
23.408906,122,44.481104
-30.348512,271,45.142798
65.644044,115,45.482599
59.949631,43,45.697024
95.66001,64,45.927167
86.194491,22,46.088212
45.274062,61,46.363615
75.000058,50,46.60218
68.177032,78,46.856435
71.661802,84,47.133911
46.037114,79,47.420978
99.203973,27,47.603273
49.907015,59,47.815449
91.03007,55,48.03592
81.03525,90,48.345691
106.054101,29,48.530021
79.227232,109,48.853358
64.926291,67,49.088868
58.469758,124,49.439038
52.443734,49,49.660716
56.102173,55,61.332057
64.45925,43,61.523205
54.193665,58,61.771286
90.706543,108,62.141766
55.449205,43,62.484683
64.507213,101,62.96915
46.520736,55,63.252232
65.569826,70,63.588947
62.679731,109,63.939831
91.56436,59,64.183468
45.894242,34,64.370595
115.387444,27,64.554665
49.81454,106,64.86808
70.282442,40,65.064516
58.500098,58,65.284122
46.219451,40,65.504037
78.528316,57,65.730272
64.322476,23,65.893797
51.48439,133,66.276382
118.219771,33,66.451701
61.167239,79,66.72856
54.415097,68,67.006269
44.228656,74,67.252176
84.810836,18,67.38041
93.552801,72,67.65216
59.264196,141,68.014657
57.750146,91,68.333401
36.796979,89,68.651663
44.265567,133,69.028488
76.533268,40,69.267153
53.511494,81,69.576684
63.02725,56,69.797027
63.224176,41,70.057766
69.901693,60,70.276018
93.835144,87,70.555041
96.062744,46,70.748798
67.172471,74,70.999976
101.075307,44,71.199138
4.751197,143,71.581714
49.778809,70,71.826783
45.616758,75,72.084735
33.144181,71,72.352778
18.082679,149,72.758203
79.566312,69,73.04333
34.394422,115,73.384051
77.481979,48,73.579064
25.442893,98,73.879772
95.628128,41,74.138839
59.207227,29,74.330285
40.742791,78,74.588394
55.596653,53,74.839057
44.344845,74,75.09331
86.412864,43,75.297933
23.052177,111,75.586181
62.438974,48,75.808315
56.182489,56,76.039244
72.119856,73,76.315832
83.069696,60,76.549059
57.569765,49,76.784552
92.675718,25,76.983823
71.136547,46,77.175025
72.545252,62,77.455091
13.735786,128,77.821255
49.025106,94,78.136638
64.912537,80,78.381196
41.825479,67,78.635257
75.981782,82,78.892745
68.24444,60,79.141107
128.239114,59,79.376671
-7.760058,181,80.220629
72.235811,71,92.356968
75.289092,62,92.599856
85.543781,90,92.896619
58.453956,46,93.122847
80.947492,18,93.296093
64.405153,46,93.663941
86.480443,47,93.887411
58.445593,128,94.2433
68.084356,94,94.549974
94.698703,61,94.825602
70.641743,115,95.148194
39.17353,97,95.433519
64.279475,103,95.724737
66.175292,26,95.928459
71.475944,55,96.185436
48.100236,56,96.421638
45.28023,111,96.72568
99.189231,67,96.964711
37.676851,157,97.345474
73.533004,57,97.585994
8.207591,194,98.046684
23.697937,115,98.341686
58.212594,87,98.615847
125.064095,27,98.811155
38.781747,105,99.148884
26.370582,144,99.490632
71.524579,56,99.741502
81.934414,89,100.049348
63.199421,55,100.273318
62.769791,77,100.568059
81.963862,82,100.854385
43.22081,66,101.136911
61.622875,38,101.335219
54.614779,29,101.528469
77.312934,68,101.777088
122.817211,42,101.976625
74.329312,46,102.170398
85.146145,47,102.377714
55.974245,52,102.60122
61.816558,123,102.927414
85.55808,32,103.124746
21.815575,137,103.52892
35.756381,155,103.921066
83.493627,39,104.135806
48.373958,65,104.372926
111.467519,19,104.531053
21.286447,129,104.887738
74.949314,53,105.153083
89.227419,18,105.325412
18.030859,123,105.674124
76.4084,98,105.974833
82.555297,32,106.526324
73.785543,41,106.736036
68.307227,56,106.965669
89.484833,87,107.249454
82.100862,29,107.445079
68.924264,46,107.641395
89.918382,29,107.816957
61.62741,51,107.996572
90.820526,95,108.290219
68.910018,29,108.480741
59.754107,39,108.707196
46.7393,79,108.981064
49.680129,53,109.209129
93.878881,45,109.464051
57.061853,131,109.845961
63.306382,114,110.162778
104.834507,71,110.402656
100.787363,36,110.587078
59.76519,82,122.284019
59.873848,44,122.496471
69.912155,24,122.677978
99.461226,67,122.984444
83.682991,34,123.275141
80.127307,36,123.619078
101.963288,32,123.861944
36.696539,99,124.157715
77.578971,58,124.401168
56.410983,38,124.60754
64.099711,35,124.777809
43.940951,113,125.126605
89.793056,99,125.405094
89.360913,66,125.673783
78.291369,58,125.991218
84.669862,60,126.243511
81.508634,48,126.432413
26.956395,177,126.854037
43.117386,87,127.144541
35.533645,116,127.48873
56.579098,48,127.696459
100.612588,59,127.939325
25.333517,101,128.244737
52.273148,69,128.476768
11.407712,202,128.956262
70.700213,103,129.260163
61.932638,30,129.476775
60.340829,134,129.873208
92.537566,47,130.160516
78.441032,31,130.367767
125.697011,43,130.550376
86.040622,45,130.760625
69.945501,70,131.015429
64.152698,47,131.237288
71.406863,77,131.514052
76.196295,60,131.726684
53.910093,64,132.072005
42.94102,65,132.355814
59.208963,45,133.091152
24.472575,130,133.603845
78.501688,36,134.115144
63.584621,62,134.336012
19.536412,176,134.920054
68.759869,36,135.368759
74.068434,53,135.772536
15.534216,135,136.545731
71.393402,28,136.846121
34.294225,113,137.192661
39.876865,101,137.531816
58.429236,158,138.006814
32.051845,74,138.266594
54.482287,37,138.458996
53.092456,59,138.758742
104.192065,25,138.914235
17.613883,136,139.288373
60.486865,37,139.484501
55.192415,76,139.772044
69.170654,61,140.092319
51.794317,103,140.439573
64.705048,45,140.667597
60.441589,62,140.948472
59.724146,127,141.409181
84.048004,22,141.664477
64.220376,53,141.889252
61.093517,64,142.131466
94.606314,80,142.477794
96.97607,91,142.794698
17.659453,181,154.383889
74.576562,79,154.645925
97.036686,31,154.827589
54.699763,66,155.068479
67.440966,64,155.372634
50.840326,53,155.774506
48.493806,64,155.999315
106.669434,37,156.191114
68.645658,22,156.34341
97.494284,41,156.543297
45.697565,63,156.792821
49.958653,75,157.061763
86.685039,45,157.29089
72.926009,75,157.583215
110.10462,31,157.745025
82.184659,42,157.998045
51.206439,51,158.233384
52.637047,50,158.475137
