#{"t_start": 1775160513.9705753, "env_id": "None"}
r,l,t
66.834055,61,0.203681
41.719013,76,0.368924
-4.593292,103,0.598512
3.741737,72,0.784802
36.168315,34,0.934713
31.005355,37,1.092349
32.317656,32,1.232463
-11.739356,135,1.52588
-43.827099,259,2.009862
-8.869205,83,2.271987
35.487557,133,2.54514
37.802759,66,2.742533
58.636925,54,2.903003
-20.074351,240,3.30004
-61.738485,305,3.792585
-42.178025,196,4.13797
7.341493,100,4.358018
19.878281,130,4.628646
28.083873,80,4.838194
18.126006,134,5.129164
-49.514111,250,5.552141
5.224118,102,5.800364
11.367312,70,5.996992
44.036341,66,6.237309
35.200734,143,6.534503
53.452832,42,6.700827
30.689064,74,6.894907
54.838721,57,7.08933
16.040851,95,7.292546
47.805162,90,7.481364
48.377904,108,7.746161
60.956091,21,7.844247
-60.848447,232,8.283046
1.04135,99,8.510152
27.149651,100,8.75648
13.726326,94,8.969411
22.820327,112,9.220361
21.390108,211,9.620433
21.887317,83,10.12539
18.714045,105,10.347788
37.84098,84,10.567815
21.564339,48,10.705474
30.331657,182,11.047772
12.240479,98,11.283813
57.231555,68,11.492414
23.393986,94,17.83041
32.823359,90,18.022077
-13.224989,180,18.357257
9.320138,80,18.562153
-27.238397,302,19.046613
-38.037409,289,19.540392
22.373145,73,19.744078
3.726219,60,19.895795
60.006523,95,20.136188
0.206143,57,20.300072
39.14353,33,20.413788
17.509272,81,20.636159
-22.264938,212,21.009588
57.524371,57,21.20172
20.992741,42,21.344257
6.075359,182,21.665476
29.01199,35,21.812811
-8.316326,162,22.155894
41.124973,137,22.435312
27.106148,102,22.626629
-19.642433,198,22.996495
-2.289979,214,23.365371
31.996977,63,23.56168
44.037011,91,23.772835
16.51568,85,23.983549
-8.574812,200,24.361601
-5.595833,160,24.67984
-11.822201,107,24.908338
2.888978,129,25.192847
22.439866,153,25.48865
39.355146,59,25.654763
32.949786,92,25.86776
30.49026,112,26.110763
25.876894,139,26.415315
13.579876,46,26.571357
45.461414,95,26.802917
57.982872,61,26.973064
22.605357,74,27.156946
14.343504,100,27.396054
0.905226,84,27.593167
57.517872,31,27.72719
10.360616,67,27.90941
6.10881,80,28.113899
40.164356,63,28.296804
38.82948,85,28.524297
11.450232,111,35.59024
26.963504,74,35.89347
19.511753,97,36.332395
4.25193,129,36.642699
5.864075,109,36.880906
30.885875,113,37.203454
-0.182677,117,37.472501
10.060355,101,37.715609
14.91593,135,37.97172
8.169762,41,38.145388
29.758422,74,38.321671
23.433846,192,38.692758
28.538187,96,38.929242
-23.664098,109,39.175145
59.235415,35,39.315823
-9.122703,140,39.585203
35.89662,47,39.75766
8.41619,156,40.045898
-5.499899,154,40.346245
0.245417,96,40.532104
30.173751,51,40.711109
41.778041,54,40.860787
34.788167,77,41.04371
27.474097,104,41.288795
18.986825,86,41.481565
20.587125,93,41.692432
6.803404,195,42.058558
32.37742,53,42.211701
42.494769,87,42.427298
55.451737,36,42.568488
7.883948,87,42.785882
29.331973,79,43.044344
27.749538,122,43.310234
13.433741,101,43.557085
23.3698,102,43.777323
29.979672,81,43.994147
15.487902,76,44.191211
6.235034,76,44.387576
21.984525,72,44.567139
25.155668,131,44.839776
43.116744,82,45.048512
34.29613,85,45.278691
26.172023,44,45.43668
-4.888888,114,45.677403
28.672319,89,45.889592
47.34572,61,46.060337
53.181686,41,46.202287
