#{"t_start": 1774928130.8668735, "env_id": "None"}
r,l,t
-4.585293,116,0.171156
-9.716496,43,0.355721
18.746016,93,0.598362
-9.561353,98,0.842733
-2.672024,108,1.038618
21.522519,31,1.203936
12.408021,49,1.35868
-6.608735,184,1.692109
20.116623,129,1.918207
8.362561,159,2.210413
57.883616,27,2.344103
26.182161,68,2.528863
30.090022,80,2.756481
20.219835,89,2.97419
55.4644,43,3.131662
-21.921638,103,3.335631
67.192815,43,3.493179
81.888045,33,3.653236
22.525442,59,3.852911
34.357627,65,4.033505
16.615169,93,4.25075
73.773648,49,4.430752
46.997054,25,4.584869
3.610631,36,4.760985
39.737175,41,4.90357
23.951188,57,5.089168
25.672955,94,5.311953
48.174822,129,5.591441
-2.199309,157,5.85854
5.746546,265,6.261119
44.441735,99,6.464193
66.615336,31,6.603564
50.416791,25,6.746568
13.724754,79,6.963236
2.973356,68,7.161376
-9.587155,90,7.408345
33.314271,67,7.617852
40.04053,54,7.764485
49.710364,32,7.940451
17.019034,64,8.098911
35.271831,77,8.290571
2.297878,120,8.515474
5.617576,108,8.699766
8.937563,74,8.903297
13.807058,36,9.048889
46.819912,64,9.214782
8.618955,70,9.411729
33.610376,40,9.536859
13.160885,22,9.675797
26.699563,164,9.964685
54.046934,66,10.128376
54.287464,47,10.290504
63.76801,38,10.450377
49.034307,40,10.605531
17.209787,35,10.736986
5.723321,81,10.963657
43.194929,76,11.204349
60.386743,33,11.371601
-14.918698,172,11.72082
57.128422,82,11.898167
24.863596,52,12.052477
27.014771,40,12.201755
7.047813,73,12.377859
-0.886581,88,12.60817
45.929985,34,12.774559
31.363158,42,12.944608
29.716679,65,17.541467
44.939262,80,17.767263
25.495288,37,17.958394
21.586517,65,18.105489
7.128961,91,18.317075
30.951354,80,18.506379
37.944751,62,18.678853
74.599253,60,18.874776
44.182531,109,19.068355
40.940751,46,19.228275
40.762013,61,19.430189
34.345192,58,19.73483
17.896026,71,19.941888
45.407925,110,20.150101
34.493283,48,20.347564
-14.542563,148,20.639555
15.348038,81,20.80401
33.305832,60,20.968421
-1.452029,126,21.222148
37.593908,68,21.409662
41.290717,31,21.565181
31.044925,108,21.836901
-8.899627,94,22.061926
-2.87612,83,22.282167
30.351454,41,22.486376
2.113712,143,22.727482
36.312291,92,22.994087
17.097491,78,23.178252
64.232387,41,23.336529
7.386234,88,23.545342
29.575452,47,23.737712
46.991842,40,23.921836
30.800571,39,24.085383
18.502652,64,24.272768
48.158617,32,24.423981
59.976459,44,24.58349
12.304485,128,24.841861
-2.53158,65,25.024302
17.662207,127,25.260669
31.314531,47,25.38829
20.227393,42,25.510562
1.339193,144,25.807499
7.182337,113,26.045034
39.910447,33,26.189476
30.957334,62,26.372813
22.90886,112,26.635798
50.795416,53,26.78441
24.913473,81,27.018552
-0.375387,119,27.239191
21.276793,146,27.515174
8.082676,52,27.720788
66.403608,52,27.917766
58.592417,28,28.077802
28.978315,29,28.248063
26.991463,36,28.422787
54.015523,21,28.576842
33.998233,55,28.725223
7.769094,59,28.883843
6.720323,134,29.179017
50.847693,59,29.361222
63.12459,42,29.522631
74.404433,63,29.706366
44.421965,78,29.911833
76.301249,24,30.854728
13.020834,71,31.119295
20.791722,65,31.336542
29.15144,38,31.495781
21.237361,57,31.676496
21.004161,166,32.030625
3.635094,63,36.844091
36.588612,33,36.988825
-0.656065,62,37.153535
18.91545,34,37.308675
19.186007,45,37.4468
62.412469,32,37.613947
59.551469,33,37.795521
22.541534,27,37.992084
54.709565,38,38.305485
56.021294,23,38.451036
45.401543,117,38.678596
7.372478,63,38.913021
27.780199,44,39.067797
93.565729,34,39.242705
9.553152,105,39.456282
-28.36002,123,39.693939
6.410025,75,39.928975
50.485909,34,40.0665
58.37157,36,40.194343
37.665572,19,40.353404
34.290776,66,40.51788
27.774886,141,40.74295
66.161467,37,40.970238
57.419128,84,41.186471
26.941557,119,41.446519
39.312101,47,41.585142
12.014151,80,41.79274
-16.570055,90,42.039252
45.143764,47,42.150269
30.335459,73,42.352835
63.132779,63,42.524553
46.298105,39,42.684948
36.820913,87,42.857685
9.118402,128,43.099218
37.071234,39,43.270441
41.79316,85,43.462155
18.187918,95,43.666612
57.674333,78,43.880673
10.399539,97,44.105494
-0.197604,76,44.315799
47.868857,55,44.463893
24.544445,64,44.674946
-18.134972,154,44.938784
51.264614,69,45.124535
34.514646,82,45.302598
32.908752,66,45.457474
31.258659,28,45.607003
51.280761,45,45.805547
-12.053188,88,46.055979
28.791505,64,46.247948
28.207242,117,46.474265
7.105699,54,46.667708
53.419206,47,46.818712
32.544375,58,46.984688
-22.240889,282,47.387691
27.227163,44,47.529128
10.392628,66,47.800323
75.313615,45,47.948765
21.792356,53,48.117597
22.553089,78,48.299377
32.839264,79,48.496783
66.94822,29,48.639591
47.625915,65,48.790281
15.578855,57,49.00265
33.148521,62,49.197084
19.789301,94,49.414956
34.643709,59,49.600566
30.212461,82,49.822317
20.566497,54,50.014253
67.522137,53,50.193921
68.804161,42,50.350094
3.931705,140,50.627616
6.570191,54,50.791918
27.163093,88,55.110401
31.395572,69,55.289876
35.449509,37,55.460116
23.883912,43,55.62598
33.09118,98,55.809401
14.507064,24,55.96722
46.692859,30,56.217963
48.540212,41,56.414774
26.889823,103,56.634292
-17.776833,94,56.819404
-7.085037,158,57.084769
28.219366,79,57.231103
56.310066,94,57.41814
35.961258,84,57.634635
69.301945,54,57.792429
55.251022,22,57.938586
25.015012,85,58.149625
72.519272,63,58.338222
31.372337,63,58.527577
32.294385,72,58.711383
26.141219,70,58.871337
64.910364,45,59.07257
34.7616,30,59.19293
33.933408,52,59.371223
62.294832,63,59.533625
5.344327,105,59.756439
55.502263,64,59.964051
32.729536,37,60.091063
-52.197627,261,60.484102
17.012086,58,60.660553
36.218087,102,61.127944
