#{"t_start": 1775178693.1498458, "env_id": "None"}
r,l,t
-15.847146,133,0.351939
-6.997714,158,0.592598
33.128388,105,0.78051
30.523942,50,0.952986
27.808624,118,1.154365
56.294142,26,1.26263
-61.368533,400,1.725618
8.107506,44,1.848768
56.206339,59,1.971573
55.626238,114,2.16762
-39.62099,246,2.493394
38.656444,71,2.655491
50.725378,43,2.783236
-29.740173,206,3.0754
-51.085285,299,5.20358
23.937616,112,5.43328
58.665384,131,5.647865
25.030983,37,5.754363
36.053607,108,5.954552
54.125181,84,6.130109
17.666892,70,6.297551
26.680591,56,6.427462
8.034143,97,6.615422
15.687386,78,6.750261
-2.69406,74,6.916369
-43.577391,191,7.190771
16.756536,248,7.511462
25.882458,115,7.689622
37.858887,122,7.899607
11.614406,123,8.104989
21.345637,112,8.304937
-14.125159,242,8.607157
12.239132,77,10.372354
45.692148,137,10.584755
32.038085,56,10.714278
49.607721,76,10.882011
40.543286,76,11.03355
75.080732,83,11.190286
57.769748,42,11.305792
43.545329,91,11.492579
5.426548,120,11.680722
53.567033,117,11.859061
16.443104,171,18.808262
36.081603,60,18.963367
3.370064,241,19.316744
46.77065,47,19.461164
31.855717,110,19.648782
3.768454,191,20.056625
-8.193132,253,20.44723
15.159082,65,20.591515
34.945793,98,22.465247
73.893405,155,22.733066
45.499865,53,22.879065
49.674305,78,23.019417
24.057664,133,23.243448
56.623719,127,23.466033
59.117514,40,23.594685
48.775654,83,23.764585
21.965583,140,23.989562
36.221976,105,24.178231
-10.554398,130,24.393589
24.127092,126,24.602972
39.136356,171,24.86503
19.189526,75,25.018755
-3.590215,62,25.14461
76.140794,61,25.291267
-17.937234,224,25.593363
63.620095,82,25.759891
56.921039,90,25.934064
46.415312,78,27.628973
36.720422,24,27.764325
7.782863,147,28.013781
-17.212997,200,28.271989
14.072209,102,28.457623
-14.51238,201,28.735082
68.256539,71,28.863931
4.552444,278,29.224316
-16.016503,235,29.551054
66.547685,16,29.634274
36.195098,47,29.738294
0.105167,176,29.995787
15.356125,83,30.187742
59.879128,56,30.317332
60.365509,35,30.430371
35.339626,137,37.226856
20.86102,77,37.380656
17.230467,206,39.394476
10.994146,163,39.682856
69.295294,65,39.849012
-2.943278,160,40.085595
1.698803,82,40.234146
49.008939,72,40.383069
37.284861,48,40.502889
40.277386,141,40.712154
38.749643,30,40.820711
20.038756,114,41.013739
35.861869,131,41.235929
10.170065,175,41.504212
6.432989,195,41.764014
10.788446,130,41.984333
-7.417654,75,42.147771
51.893148,111,42.335787
23.059526,76,42.519372
-10.833605,213,42.797046
-1.957695,330,44.779167
55.397011,100,44.978689
47.620858,110,45.163765
60.449204,67,45.325538
28.287861,106,45.504847
67.638198,41,45.619843
36.456313,90,45.782382
-0.773524,254,46.111689
31.547852,197,46.379743
77.781911,58,46.554503
36.195357,71,46.710668
24.740846,100,46.897267
28.159383,170,47.137936
40.182367,47,47.257876
58.49922,73,47.434448
71.252392,36,47.571324
34.403041,113,47.759729
29.426697,97,47.922826
14.373683,155,49.709213
44.07275,188,49.980234
27.465389,154,50.205491
37.453353,62,50.336636
9.492493,101,50.523577
72.777762,65,57.62358
27.181115,136,57.82073
18.120557,146,58.036115
39.326813,105,58.221907
35.307018,41,58.361863
20.029864,216,58.762538
54.718223,23,58.907423
47.112687,56,59.039244
49.614143,134,59.302807
71.615706,53,59.435203
27.462323,155,59.668888
