#{"t_start": 1774653213.1493351, "env_id": "None"}
r,l,t
-63.831481,89,0.163878
-61.850141,23,0.211551
-58.181769,21,0.250683
-59.901142,9,0.267729
-41.912428,30,0.300809
-61.558964,23,0.326976
-57.228359,35,0.363957
-75.641367,82,0.445726
-65.330128,41,0.486986
-55.16587,23,0.511506
-50.997711,30,0.544014
-65.130703,21,0.566363
-45.381609,102,0.656038
-54.666414,63,0.713933
-91.590489,83,0.787034
-91.351692,76,0.859904
-54.470272,65,0.926129
-68.005492,49,0.991244
-7.438349,27,1.022874
-69.792755,31,1.053089
-107.274841,126,1.198328
-71.076268,68,1.290387
-39.741224,33,1.322927
-81.456197,48,1.374111
-44.213539,34,1.414629
-50.835851,24,1.442291
-30.111292,39,1.487002
-57.252498,23,1.510143
-77.463835,88,1.594792
-48.712456,83,1.666636
-77.211791,92,1.74802
-39.202434,28,1.779319
-44.737109,23,1.802923
-42.221104,40,1.841713
-53.734867,42,1.8837
-42.983889,40,1.920845
-33.674851,81,2.008074
-20.935817,42,2.049166
-67.895771,18,2.070128
-43.465408,18,2.107262
-57.277985,30,2.144034
-3.608709,68,2.227174
-79.80001,73,4.035246
-14.557881,79,4.207709
-52.862173,61,4.283364
-43.966919,99,4.435917
-71.227995,54,4.531502
-69.889564,59,4.651106
-26.120637,17,4.707937
-56.979478,114,4.845635
-52.394854,124,4.9675
-47.476901,74,5.031132
-58.475484,68,5.107829
-35.288233,72,5.178987
-60.266005,25,5.203622
-68.265423,43,5.244074
-43.33071,67,5.30673
-41.357635,28,5.33495
-19.373495,95,5.427289
-24.755131,54,5.499486
-24.944381,104,5.631293
-26.616711,126,5.746586
-6.300351,35,5.783341
-49.505463,18,5.8046
-76.278328,84,5.881129
-59.8228,66,5.941695
-57.609326,87,6.017233
-59.404156,150,6.167033
-60.201423,49,6.212014
-39.740486,129,6.325471
-45.263155,40,7.771022
-42.886053,150,7.907828
-33.386114,47,7.964331
-83.699276,122,8.074246
-50.120702,54,8.132624
-44.343264,58,8.193605
-23.941239,39,8.231661
-85.931828,62,8.293388
-56.032713,150,8.587389
-42.303514,114,8.897519
-75.087011,65,8.980376
-70.726127,150,11.3917
-71.704342,48,11.441708
-39.311604,43,11.481581
-65.375052,35,11.516746
-29.589883,38,11.555838
-62.395256,150,11.723823
-51.20973,36,11.793847
-35.687092,89,11.889871
-43.977233,84,11.967457
-43.18612,54,12.023593
-34.904502,70,12.090054
-79.901574,56,12.145352
-33.621763,70,12.208136
-29.806505,91,12.295578
-54.520221,104,12.385594
-39.486565,35,12.421668
-75.308484,150,14.021682
-48.440072,62,14.084981
-56.456732,27,14.114581
-53.270927,135,14.248882
-34.344975,79,14.325461
-62.575108,150,14.458496
-44.727926,44,14.501658
-37.489628,73,14.569179
-52.619388,38,14.607143
-77.843464,150,14.750209
-52.278978,51,14.823285
-58.600487,64,14.914847
-46.419478,79,14.992465
-24.691067,94,15.080764
-35.918474,68,15.150578
-50.535421,150,15.28215
-84.318411,117,15.396717
-62.916539,75,15.462568
-78.017546,150,15.587635
-68.206961,150,15.750425
-45.335091,59,15.834515
-53.447247,64,15.917883
-75.184109,150,17.406954
-37.595439,132,17.543564
-21.985303,146,17.670353
-80.858243,108,17.77088
-66.186701,150,17.966387
-26.853016,150,18.104171
6.334708,41,18.147583
-16.79431,127,18.261039
-53.249689,101,18.353376
-61.395321,150,18.491923
-63.901886,66,18.549818
-42.003507,150,18.680419
-56.100726,62,18.737464
-25.265463,150,19.001348
-66.436607,82,19.12381
-47.334753,17,19.148759
-38.986328,43,19.196514
-10.996294,40,21.921836
-34.112704,150,22.068106
6.458829,109,23.529882
-57.329901,150,23.685771
-68.003174,145,23.812741
-25.539465,99,23.898712
-32.700241,62,23.958803
-50.612757,150,24.156086
-43.977548,22,24.219924
-46.324078,61,24.317317
-36.430266,59,24.40844
-69.672614,150,24.554605
-25.814708,150,24.702977
-74.738203,148,24.828745
-39.143436,54,24.888125
-46.680364,50,24.933844
-33.792223,150,25.069713
-45.300475,150,25.219048
-54.027262,150,25.389763
-17.011511,77,25.475802
-91.126124,136,25.593959
-56.845912,150,27.065564
-38.082116,150,27.220152
-25.553826,118,27.341826
-36.572991,48,27.412084
-58.966217,150,27.557996
-61.729716,150,27.700815
-35.461765,150,27.826252
-55.508254,150,27.961926
-48.910045,81,28.037877
-13.133324,120,28.151709
-40.607186,119,28.25888
-53.044121,50,28.318709
-81.641414,131,28.473035
-45.420875,150,28.609819
-59.964945,150,28.746459
-18.982474,150,28.873014
-68.168503,150,30.410271
-1.601187,75,30.525971
-33.949883,142,30.655151
-16.508438,144,30.796296
-8.680796,109,30.886337
-11.460953,69,30.946326
-46.091668,150,33.209423
-5.687126,98,33.309378
-43.627798,48,33.35463
-20.165995,147,33.499899
-49.497497,144,33.659769
-50.929005,113,33.762855
-14.381571,47,33.814134
-38.16356,150,33.940779
-17.628332,128,34.050555
-21.115129,150,34.184613
-7.334959,150,34.327744
-18.597199,150,35.896262
-49.501321,146,36.035092
-37.352945,150,36.176236
-56.401511,49,36.22069
-42.428814,150,36.364526
-39.992874,150,36.490605
-14.865031,106,36.592344
-21.298617,150,36.764132
-46.691302,150,36.906706
-44.563769,150,37.035488
-56.204934,150,37.17747
-33.066541,150,37.304181
-42.579108,150,37.44379
-16.466121,150,37.585367
-47.68214,150,37.758296
-35.643025,150,39.217414
-32.653578,150,39.360339
-25.725419,150,39.497175
-39.590567,150,39.645464
-41.65258,150,39.920741
-24.498878,150,40.196674
-34.049091,150,40.33366
-33.492359,150,40.479749
-18.045608,150,40.609473
-38.813252,150,40.7424
-44.457174,112,40.843842
-22.886298,99,42.999968
-32.937451,119,43.130039
-14.825059,150,43.263976
-40.56412,150,44.676877
-27.805407,150,44.826776
-27.975483,150,45.07391
-23.496307,150,45.276323
-31.495431,136,45.407725
-34.471498,150,45.541397
-41.98009,150,45.691032
-48.09613,150,45.816181
-18.113834,150,45.947798
-31.745862,150,46.142303
-33.334188,150,46.279998
-28.862899,150,46.412624
-41.424181,150,46.543736
-37.889196,150,46.681515
-18.406779,150,48.135777
-42.973544,150,48.317766
-21.46211,150,48.450431
-31.231992,150,48.579334
-28.36242,130,48.70169
-36.17963,150,48.828172
-15.630469,150,48.956055
-23.523527,150,49.109832
-18.607815,150,49.297612
-27.672422,150,49.458484
-24.016947,150,49.591559
-30.688369,150,49.738458
-2.407612,106,49.831995
-36.258608,150,49.962337
-44.113862,150,51.948647
-33.789502,150,52.13423
-23.899344,150,52.285717
-9.702951,150,54.570417
-20.058098,150,54.700905
-32.409821,150,54.840848
-22.215101,150,54.969753
-28.373107,150,55.103667
-35.488467,150,55.234377
-15.513007,150,55.381855
-28.871714,150,55.582541
-4.667616,112,55.797592
-44.715987,150,55.956647
-4.611436,150,56.092458
-36.317402,150,57.561431
-15.058279,150,57.741613
-35.747371,150,57.886393
-32.687653,150,58.020783
-21.623121,150,58.156758
-53.471217,150,58.286255
-17.60689,150,58.42429
-34.213757,150,58.598388
-43.21632,150,58.736351
-29.384242,150,58.861835
-27.712858,150,59.001403
-22.902785,150,59.140791
-39.039514,150,59.273567
-26.623458,150,59.402109
-30.704252,150,60.998984
-31.674848,150,61.143831
-27.514236,150,61.278008
-11.276401,150,61.413013
-40.472219,150,61.562256
-35.378065,150,61.739824
-21.785316,150,61.88455
-24.592049,150,62.020573
-28.509759,150,62.158956
-22.088928,150,64.364559
-29.743359,150,64.492733
-18.878409,150,64.637329
-25.648366,150,64.82636
-49.656786,89,64.917795
-39.762244,150,66.471898
-27.483675,150,66.638515
-23.645605,150,66.816595
-28.351504,150,67.002434
-28.765938,150,67.15508
-13.767012,150,67.282121
-28.152345,150,67.412134
-22.283676,150,67.538628
-21.560501,150,67.678332
-28.228776,150,67.813985
-26.766081,150,68.001226
-26.499718,150,68.158617
-31.585073,150,68.290982
-24.963853,150,69.809964
-12.059495,150,70.011728
-24.240432,150,70.182381
-25.008814,150,70.316462
-23.796401,150,70.447654
-22.218606,150,70.576588
-25.770814,150,70.710921
-34.288884,150,70.838878
-35.315781,150,70.99881
-14.310172,150,71.152332
-29.504901,150,71.292187
1.195921,150,71.547986
-21.607282,150,71.788452
-20.291608,150,71.950112
-24.506882,150,73.396142
-6.163585,150,75.622878
-22.825696,150,75.754328
-27.656347,150,75.894694
-18.003751,150,76.057616
-27.421453,150,76.265893
-28.746393,150,76.412405
-23.650492,150,76.611887
-24.275996,150,76.795527
-28.339242,150,76.945193
-26.51262,150,77.132466
-18.432749,150,77.279199
-23.362298,150,77.422591
-34.427304,150,77.558032
-28.460659,150,78.987621
-22.687883,150,79.192159
-23.213078,150,79.351886
-29.845584,150,79.494285
-25.450464,150,79.628504
-22.747052,150,79.752543
-46.820019,150,79.884727
-22.966897,150,80.022127
-25.051754,150,80.186127
-27.143741,150,80.366717
-29.692219,150,80.506827
-11.791045,150,80.6447
-16.630298,150,80.771513
-29.558838,150,82.403304
-22.394619,150,82.571023
-23.092888,150,82.706494
-24.549512,150,82.839851
-19.945884,150,82.964185
-28.886394,150,83.117034
-20.455067,150,83.412476
-16.46758,150,83.563222
-24.086382,150,85.754843
-38.637714,150,85.879024
-30.317755,150,86.007869
-34.622878,150,86.157125
-3.615868,150,86.296137
-23.015561,150,86.473932
-23.804549,150,88.17194
-21.512783,150,88.321933
-22.858173,150,88.491141
-19.848158,150,88.637999
-22.597458,150,88.784549
-25.411113,150,88.921499
-33.41665,150,89.052301
-20.171538,150,89.196491
-30.451356,150,89.330855
-30.262912,150,89.517457
-37.338042,150,89.656218
-29.549999,150,89.795178
-20.278461,150,89.928245
-41.758463,150,90.053715
-46.534915,150,91.591577
-25.016143,150,91.784978
-26.679933,150,92.017085
-24.496706,150,92.329416
-25.125727,150,92.600301
-31.525325,150,92.849673
-26.469462,150,92.980627
-12.462294,150,93.118227
-23.363023,150,93.248728
-26.521929,150,93.389431
-23.682311,150,93.520046
-27.861944,150,93.683217
-27.847412,150,93.84942
-16.428846,150,97.361891
-26.1801,150,97.63367
-22.219422,150,97.794883
-25.303906,150,97.974025
-24.713503,150,98.112962
-34.72863,150,98.24174
-36.283723,150,98.372455
-27.189062,150,98.506317
-21.66848,150,98.6445
-28.767009,150,98.782889
-27.564113,150,98.95919
-11.46712,150,99.095405
-26.204816,150,99.227247
-10.962474,150,99.357843
-28.698247,150,100.794044
-22.693385,150,100.990953
-24.733886,150,101.148369
-29.485433,150,101.28861
-29.808288,150,101.419002
-28.820349,150,101.55873
-25.392819,150,101.688136
-25.952749,150,101.814416
-21.147908,150,101.988185
-21.25452,150,102.148053
-22.602716,150,102.281208
-24.931906,150,102.413689
-18.960444,150,102.553008
-24.728784,150,102.845272
-26.90533,150,104.37895
-19.086154,150,104.515446
-31.601243,150,104.660397
-23.181167,150,104.794727
-19.185555,150,104.9294
-25.108696,150,107.183944
-16.966241,150,107.31762
-24.098887,150,107.44851
-22.347248,150,107.575478
-26.754835,150,107.716071
-25.006135,150,107.88535
-17.233459,150,108.140705
0.544057,150,108.307514
-13.925476,150,109.722704
-20.639575,150,109.872432
-25.537134,150,110.006582
-18.004686,150,110.164733
-18.689692,150,110.333908
-25.522101,150,110.464741
-23.202461,150,110.594849
-23.216873,150,110.731988
-37.556557,150,110.859431
-21.63998,150,110.986458
-20.377571,150,111.137516
-26.089378,150,111.350048
-23.609186,150,111.502038
-21.564567,150,111.634984
-21.486444,150,113.583176
-30.210107,150,113.741241
-29.084364,150,113.883385
-28.325382,150,114.01304
-21.829964,150,114.150598
-25.285767,150,114.326144
-21.08918,150,114.487067
-19.220133,150,114.617579
-25.780507,150,114.744123
-28.715299,150,114.901148
-26.198241,150,115.03214
-23.269889,150,115.178433
-22.871205,150,117.498054
-20.166826,150,117.664842
-22.634522,150,119.295824
-26.344093,150,119.503929
-24.144562,150,119.655932
-23.087809,150,119.783604
-22.106806,150,119.915887
-19.316704,150,120.04749
-24.359309,150,120.245208
-20.750946,150,120.43249
-18.836672,150,120.589669
-21.879384,150,120.725935
-23.53466,150,120.863519
-28.026125,150,121.008198
-21.855329,150,121.146819
-29.351169,150,122.631321
-26.553456,150,122.799199
-30.334143,150,122.930379
-12.225982,150,123.072688
-24.780585,150,123.210357
-29.751723,150,123.340962
-24.964529,150,123.503613
-20.749944,150,123.657947
-26.569079,150,123.787895
-25.650387,150,123.915443
-27.142522,150,124.055105
-22.584453,150,124.310131
-21.255926,150,124.471689
-24.323344,150,124.650372
-24.731873,150,126.131956
-25.084304,150,126.346645
-22.685822,150,126.505728
-20.81239,150,126.708042
-25.444167,150,131.000682
-23.145318,150,131.305575
-20.327297,150,131.643543
-22.455628,150,131.870306
-20.206402,150,132.098865
