#{"t_start": 1774651784.602022, "env_id": "None"}
r,l,t
-62.773462,106,0.141792
-79.272433,84,0.245568
-38.04508,51,0.294005
-74.194711,54,0.357625
-36.471635,38,0.403239
-87.071116,116,0.570277
-33.691055,78,0.653698
-71.813589,33,0.688561
-53.605632,21,0.724491
-52.899859,43,0.765582
-89.903533,84,0.839638
-75.064487,52,0.895272
-70.181167,52,0.956874
-4.799088,30,0.98787
-20.604017,62,1.049922
-47.587549,33,1.083208
-10.603035,40,1.127934
-79.817371,88,1.20869
-70.295648,19,1.239897
-20.591652,38,1.275145
-39.414221,54,1.327734
-61.943095,21,1.358383
-45.724338,85,1.451853
-72.785493,30,1.505793
-79.029777,43,1.576679
-48.092806,22,1.620079
-61.669254,80,1.697004
-79.575182,22,1.728179
-59.15275,51,1.789467
-62.682376,68,1.983964
-85.497713,91,2.067401
-44.356032,24,2.103889
-78.597868,76,2.290205
-21.587314,29,2.323481
-72.238909,92,2.410616
-54.51571,36,2.463555
-26.992996,29,2.500824
-97.098618,66,2.583149
-82.325241,150,4.503108
-52.779408,51,4.566422
-49.550567,14,4.586606
-62.860085,48,4.636225
-72.815191,41,4.681431
-75.28926,95,4.804521
-59.601291,25,4.854825
-40.511672,102,4.9757
-71.233403,27,5.004913
-91.598358,86,5.085531
-57.584889,25,5.114125
-22.944498,54,5.165981
-33.95763,67,5.244157
-52.482158,49,5.292624
-71.322553,19,5.323083
-45.740846,14,5.353893
-94.566277,78,5.43515
-54.487952,21,5.460147
-50.598488,22,5.490001
-36.887157,45,5.554755
-66.446842,39,5.605921
-28.586387,21,5.631161
-90.738285,150,5.835803
-67.488108,23,5.889491
-23.043305,101,6.044557
-28.637642,22,6.071601
-6.324686,14,6.094268
-23.783463,19,6.117114
-12.092234,44,6.158727
-15.036209,82,6.232218
-68.275065,126,6.346081
-33.344953,56,6.407579
-62.948772,79,6.481785
-72.77788,150,6.619697
-44.061492,26,6.648335
-59.517123,31,6.685234
-20.53143,100,8.667619
-61.553677,95,8.777594
-42.067546,150,8.909292
-29.127878,71,8.987555
-52.695191,23,9.014858
-41.252901,134,9.131577
-73.865483,86,9.239569
-31.108149,89,9.350651
-39.935758,55,9.445159
-35.398776,78,9.521936
-65.632894,55,9.571759
-58.145117,150,11.980456
-54.917288,150,12.119423
-37.505984,62,12.180547
-62.488403,32,12.220654
-52.746254,92,12.433787
-52.313748,51,12.527477
-46.251695,125,12.691354
-73.333474,88,12.806328
-30.453764,150,12.942388
-42.364662,47,12.994144
-30.373124,72,13.061121
-50.295274,22,13.08538
-1.25185,41,13.128526
-48.155245,28,13.155402
-47.62646,41,13.195907
-14.351566,87,15.041364
-53.35607,20,15.07796
-45.335641,76,15.167277
-72.365948,82,15.249569
-40.373744,124,15.362638
-44.941822,86,15.447281
-60.397121,48,15.495436
-42.419415,70,15.564777
-44.977838,70,15.638251
-50.20375,39,15.678234
-53.931201,64,15.735454
-55.92137,90,15.828555
-41.079131,25,15.866172
-75.22945,26,15.913486
-55.852009,78,16.010597
-44.476508,53,16.074288
-59.490158,150,16.211616
-45.927649,34,16.247375
-37.610248,45,16.294226
-49.003205,96,16.385868
-35.621369,135,16.518693
-48.504947,85,16.610904
-54.24456,106,16.71585
-62.827073,81,16.783832
-66.883644,79,16.871963
-45.733889,107,17.007654
-39.398739,119,18.991326
-10.088327,108,19.115254
-20.337881,81,19.242269
-59.62582,119,19.394358
-48.732937,67,19.464074
-59.062972,44,19.509825
8.176782,93,19.597853
-11.027887,39,19.643379
-38.551852,98,19.735831
-35.972831,127,19.846946
-49.359057,150,19.980663
-58.489851,150,20.11707
-65.128686,46,20.182148
-55.1176,127,20.329031
-7.623178,88,20.447904
-41.336121,116,20.556126
-62.942961,62,20.612297
-56.034383,14,20.638484
-63.658571,30,20.679198
-50.087664,150,20.81395
-51.309689,63,20.87803
-74.13908,112,23.350408
-38.943359,24,23.381134
-37.983657,127,25.264907
-16.997843,113,25.393483
-34.609597,150,25.533182
-45.823728,150,25.680554
-15.036786,71,25.77377
-51.464355,150,25.958218
-21.531956,150,26.088377
-23.64734,83,26.171652
-42.217888,150,26.310612
-53.708338,57,26.376962
-34.025672,109,26.481483
-61.408421,150,26.612326
-60.635873,150,26.744985
-47.574271,90,26.856968
-66.946192,83,26.976344
-24.738628,63,27.060128
-32.840049,150,27.197012
-31.715456,114,27.306522
-19.427363,146,29.303727
-18.048543,150,29.483099
-12.011455,150,29.61941
-32.287209,150,29.752013
-66.864663,150,29.883056
-44.167083,150,30.025742
-20.966372,113,30.128522
-54.413074,79,30.21426
-61.29287,114,30.356471
-52.348282,150,30.532818
-34.565102,150,30.669746
-48.236555,143,30.803132
-34.736315,150,30.930807
-63.916347,114,31.04498
-57.888071,53,31.096223
-1.517597,112,31.198454
-12.62432,150,33.154689
-63.636707,150,33.38222
-50.941892,32,33.424332
-60.692632,91,33.524762
-45.805476,150,33.732046
-54.723866,150,36.067794
-46.843075,140,36.313909
4.112615,85,36.392855
-40.059297,150,36.529569
-38.545977,82,36.615672
-37.626018,150,36.848514
-10.583273,69,36.940847
-19.542629,102,37.048504
-18.617687,126,37.169981
-70.67815,124,37.288913
-40.854475,56,37.341382
-38.308725,150,37.47331
