#{"t_start": 1775164122.0324314, "env_id": "None"}
r,l,t
25.677575,94,0.275264
12.825898,39,0.576689
-1.741325,174,1.41377
36.507942,46,1.848566
47.084278,78,2.446834
-2.345387,127,3.244321
-6.098278,177,4.312121
6.047725,65,4.788637
7.735281,66,5.321741
6.76625,113,5.94218
16.385669,43,6.398848
-0.462424,165,7.023284
50.311154,35,7.477585
8.182665,116,8.176692
34.771367,97,8.671127
-50.71907,260,9.577938
32.585092,123,10.581533
-25.990043,124,11.262132
67.519353,69,11.797798
-11.049929,199,12.594904
28.877082,100,13.186375
22.977734,107,13.789245
-22.668093,200,14.649722
-58.393136,343,16.008008
26.012484,110,16.665202
-39.850617,238,17.667755
41.691245,60,18.136405
-0.460601,163,18.929526
11.53073,135,19.664174
54.051174,46,20.07647
4.296802,195,20.959261
58.919652,68,21.374027
-1.031865,214,22.300994
35.351886,143,22.995375
6.955454,168,23.760053
14.302566,122,24.390483
22.316144,115,25.037048
47.170785,78,25.510637
6.238769,169,26.255653
-7.023827,102,39.934229
25.617823,86,40.432154
24.077836,96,41.030333
6.640829,124,41.697106
19.779225,58,42.17306
-2.912654,129,42.82622
10.978664,148,43.589856
-35.777438,297,44.832515
-2.294455,146,45.592776
13.750954,131,46.199869
15.107205,165,46.940191
-27.791276,202,47.816619
-31.99198,243,48.894342
7.676997,120,49.513713
49.130008,101,50.119635
42.546443,85,50.632067
-3.752486,116,51.258992
-17.64759,105,51.857118
-27.648864,175,52.657094
14.259887,73,53.182485
61.22003,112,53.835497
36.968915,82,54.377498
0.426905,106,54.982885
-8.95199,111,55.613057
50.44298,42,55.992897
18.047662,183,56.919764
24.797077,80,57.481723
12.725484,51,57.892645
41.351974,46,58.266269
-15.091711,153,59.019298
17.185532,82,59.530252
-9.298277,116,60.704704
20.9277,109,61.322546
-17.119848,192,62.249724
20.594494,80,62.781943
24.894984,36,63.123077
26.670548,80,64.122903
21.92037,160,65.644696
17.056363,108,66.250544
40.94492,62,66.749661
27.622218,67,67.183946
-16.168964,126,67.864537
17.47623,135,81.892265
38.957202,182,82.707388
53.199182,60,83.120829
-0.388647,242,84.169252
7.274486,107,84.823633
-15.961733,135,85.478831
21.522969,93,86.021195
-0.493958,150,86.783808
33.868461,45,87.199077
33.717782,71,87.70626
-0.714864,229,88.676429
-24.96886,147,89.463774
23.236701,63,89.895129
21.433429,105,90.487704
21.820787,179,91.300032
17.083031,75,91.770334
11.164032,100,92.317602
-7.335364,216,93.26696
-0.790353,91,93.794708
-15.249873,228,94.772428
0.755273,78,95.268334
-3.379757,141,95.986998
-28.09741,322,97.323201
42.122253,94,97.929354
49.193642,81,98.487584
71.955599,97,99.094112
-18.472271,111,99.701183
-45.810105,267,100.841143
28.750129,43,101.229229
57.256836,148,101.945091
19.738368,85,102.484022
35.546082,166,103.294236
56.396267,84,103.824013
