#{"t_start": 1775320403.3453612, "env_id": "None"}
r,l,t
72.638683,101,4.150229
42.538372,119,4.457106
84.043448,89,4.700811
103.498455,69,5.035202
60.387895,60,5.371811
32.944863,137,5.834554
63.595625,114,6.230627
47.638859,74,6.463443
89.942115,77,6.744174
72.727988,76,6.921525
23.789651,155,8.61237
36.126994,78,8.838899
66.428063,71,9.053627
96.452737,66,9.242925
51.350791,39,9.375723
69.58596,16,9.46824
48.233936,104,9.679401
55.844578,149,9.93947
78.086012,45,10.076912
66.501975,64,10.246157
60.256978,76,10.410785
37.635121,117,10.640982
49.598062,91,10.839917
56.984987,70,11.824773
35.524396,100,12.038629
47.075488,67,12.210828
54.852618,37,12.330572
83.534483,35,12.46022
34.431523,71,12.623634
61.789072,44,12.756974
96.148442,65,12.915331
74.562412,78,13.109391
17.18762,131,13.341867
38.649038,131,13.574228
26.164335,121,13.79871
35.089802,119,14.030452
61.213606,41,15.170786
76.572399,129,15.490989
81.728646,74,15.727744
43.241455,61,15.917857
53.292098,70,16.141861
37.782903,92,16.387643
76.542306,50,16.554037
58.581744,73,16.774367
63.551994,44,16.908438
82.924396,52,17.063377
79.037107,23,17.195228
80.870607,35,17.325423
96.672147,58,17.517387
98.530531,65,17.69714
55.055731,35,17.837101
29.028483,118,18.083642
56.083134,51,18.954627
53.605646,68,19.135377
79.763031,36,19.263408
57.021919,49,19.427539
103.747152,66,19.614362
87.812831,42,19.771404
93.583905,23,19.884037
83.786695,18,19.98708
38.880208,135,20.227457
67.985203,68,20.396625
47.799922,80,20.5808
65.312169,122,20.819434
87.880203,60,20.986734
55.770843,42,21.108839
111.479739,63,21.279365
105.645527,43,38.651745
67.737783,56,38.78329
64.660905,40,39.964345
70.152162,53,40.12503
104.80306,31,40.247254
131.98758,30,40.376833
29.786732,180,40.708445
37.665534,57,40.844683
78.171099,66,41.003385
113.128223,28,41.122357
83.643365,43,41.257071
56.433401,29,41.358873
64.358121,35,41.486169
51.085562,78,41.664188
52.756667,60,41.797832
40.34792,174,42.056217
47.259193,98,42.228997
105.8282,14,42.322576
33.046769,124,43.253837
114.587305,15,43.381352
61.357847,48,43.523303
92.7705,30,43.662891
45.952701,34,43.806929
68.45344,39,43.955887
62.330565,38,44.093338
54.565227,56,44.282878
79.680858,68,44.460247
62.035713,33,44.592339
50.008014,46,44.715666
25.40159,64,44.863774
47.843858,57,45.118382
85.835454,16,45.278455
59.834945,24,45.416521
53.951105,82,45.646867
60.972604,45,45.794844
67.631952,33,45.900341
37.785022,76,46.203909
94.994313,48,46.356204
58.311952,45,46.480227
87.985352,20,46.588326
83.65112,34,47.359518
69.063452,64,47.508948
58.453437,79,47.668766
40.894019,60,47.798833
49.396397,66,47.934193
63.429501,48,48.056268
71.530872,56,48.210615
69.111994,27,48.311796
52.952934,20,48.416448
85.558765,44,48.527141
45.106685,132,48.759547
-13.094383,143,48.985495
59.737114,47,49.112847
101.31712,20,49.204928
83.482145,19,49.296877
102.898372,15,49.388505
38.57703,58,49.532721
41.423725,47,49.758126
21.076078,88,50.556535
96.681187,28,50.698182
60.948191,87,50.854275
48.93727,38,50.961535
50.834428,50,51.09573
68.68527,34,51.221646
79.808662,24,51.329513
88.049317,22,51.430731
72.407234,12,51.5251
59.478386,69,51.668655
36.56024,51,51.806896
45.492986,53,51.925521
109.341764,37,52.047509
101.172622,26,52.145275
49.033716,71,52.309471
56.837801,61,52.444255
78.426131,40,52.563217
60.604212,29,52.667789
65.428923,28,52.772184
57.890513,59,52.908837
59.083798,47,53.039638
51.199729,36,53.145985
63.244308,34,53.263109
-19.591033,203,54.167164
69.423048,29,54.273978
86.805548,21,54.375634
62.783079,36,54.491489
60.797443,85,54.641104
46.637399,75,54.78798
81.589496,24,54.890153
44.199117,44,55.007433
55.283886,27,55.105092
21.326632,119,55.298389
57.118254,44,55.433628
101.813436,32,55.538272
110.590836,19,55.635954
54.605904,19,55.782069
60.049108,54,56.082682
83.06088,28,67.046475
48.587602,34,67.160815
72.760009,27,67.268977
78.976409,27,67.387522
85.434184,50,67.50604
43.694404,67,67.644672
44.327815,39,68.415648
41.109283,138,68.651338
54.37259,35,68.770943
56.138467,74,68.924373
41.080978,40,69.043121
65.330886,20,69.137802
24.595465,115,69.327583
65.832468,27,69.446237
85.289838,20,69.531876
53.342286,17,69.632208
63.856916,32,69.743623
78.847238,20,69.837579
81.56262,48,69.968067
84.754418,15,70.056038
60.873911,26,70.161334
39.592672,108,70.336972
54.21236,95,70.499062
101.688664,28,70.61074
64.52412,31,70.732804
71.970891,54,70.875582
53.994743,55,71.024878
50.158075,108,71.863229
69.792859,37,71.989648
81.760023,21,72.081861
108.854661,48,72.201935
95.838209,42,72.31557
97.960378,39,72.435608
47.472122,87,72.598687
40.184212,131,73.006493
54.699991,20,73.097771
91.902547,18,73.191621
76.211033,24,73.283401
56.450105,60,73.419019
60.983304,33,73.537574
101.489045,27,73.635731
