#{"t_start": 1775159892.701572, "env_id": "None"}
r,l,t
43.162181,46,0.101552
-22.609783,141,0.294644
-15.182438,186,0.617093
6.24487,61,0.782399
11.896116,76,0.972881
-17.309801,196,1.281418
-26.501328,204,1.651635
-5.386613,132,1.888892
20.049715,45,2.064159
-11.832077,140,2.361017
-7.384562,159,2.626887
52.293191,24,2.792944
15.582428,76,3.359204
-1.227159,63,3.66578
-56.370892,331,4.153847
10.41241,140,4.388741
29.188865,104,4.603104
3.90006,60,4.747781
-28.722635,119,4.982708
-25.733804,205,5.300722
33.474428,116,5.540518
18.285351,93,5.760919
20.465745,151,6.04334
-6.805751,128,6.283012
13.607113,65,6.485163
32.61964,69,6.641116
28.94678,35,6.786124
44.306408,46,6.915617
12.089264,120,7.182958
43.848646,45,7.337385
-0.059177,55,7.529122
43.314816,56,7.680109
15.834902,65,7.853137
4.671519,78,8.042521
11.499247,101,8.262695
-9.858498,74,8.439267
33.756353,57,8.612684
-0.89645,148,8.882859
6.853846,54,9.050132
30.042899,59,9.232379
27.391054,97,9.44643
43.66181,44,9.582884
48.038749,39,9.704824
21.760096,73,9.916244
44.746737,54,10.085096
-0.038251,138,10.354956
-26.851968,145,10.64393
33.561042,127,10.877204
31.749444,88,11.079991
51.393267,46,11.265711
30.300726,65,17.165472
15.904741,101,17.372744
44.383785,93,17.562304
-2.693706,120,17.798353
-0.553414,105,18.014519
44.817154,42,18.153963
-4.408008,155,18.470637
48.034548,41,18.617365
19.387935,81,18.802372
-36.040421,287,19.2441
32.423053,63,19.382713
-35.872079,164,19.660594
14.239737,75,19.8477
0.442073,132,20.111153
52.980765,55,20.265439
-8.240897,155,20.60866
51.019366,59,20.890648
31.13017,92,21.193512
29.656945,86,21.512353
33.520193,78,21.834704
-9.048252,159,22.131253
3.196826,51,22.303727
11.348261,113,22.664997
6.57788,87,22.880574
9.013972,147,23.153845
43.874163,80,23.429615
7.85698,158,23.741626
-13.254761,218,24.113779
49.914823,42,24.260022
25.474492,86,24.425494
29.390802,49,24.592588
41.21354,107,24.813891
8.271263,145,25.077715
8.268692,73,25.248088
-13.168222,191,25.592672
20.707324,68,25.763949
24.794106,91,25.987238
17.741631,80,26.17681
40.952235,97,26.404374
33.665612,95,26.633864
43.335192,80,26.818357
-6.265178,146,27.075014
11.703043,114,27.303715
46.172774,88,27.527752
55.811498,49,27.677182
-11.231492,110,27.900546
65.275116,35,28.053246
53.960601,98,28.271814
25.098054,138,33.761037
17.193852,112,33.982595
21.285539,41,34.167686
4.348115,211,34.728431
67.90114,48,34.99418
37.445321,48,35.229771
58.427676,30,35.459321
25.678281,87,35.710469
27.648848,67,35.91618
23.681354,75,36.093736
49.670666,125,36.338388
21.429871,76,36.5439
29.109792,93,36.749023
24.370111,123,36.966863
63.732046,182,37.274702
79.112654,41,37.429015
25.030645,90,37.649215
53.213841,46,37.829311
35.814095,87,38.022894
15.449517,53,38.178124
37.817472,88,38.386101
58.386331,33,38.586019
-27.650317,159,38.956172
6.996449,165,39.258144
-4.52895,91,39.481034
5.911522,92,39.674084
25.34632,145,39.949448
38.098565,58,40.10396
-0.518969,65,40.264613
27.310505,88,40.435748
-129.144604,400,40.957442
70.584913,25,41.106389
12.724504,132,41.418311
-12.201965,133,41.705133
47.574094,62,41.873415
-42.35494,238,42.264112
12.44779,58,42.407537
46.231784,76,42.569568
51.891865,42,42.70049
28.40446,83,42.88964
40.848599,64,43.071477
40.801341,60,43.293001
62.613769,25,43.424725
45.087535,83,43.629253
-3.141052,199,43.966709
31.595992,64,44.145952
45.432426,76,44.360526
25.045511,93,44.555987
33.371844,64,44.730623
25.683814,85,44.924587
50.270458,49,45.087256
-3.911562,148,45.3446
35.712626,21,45.48957
-31.598738,329,51.830211
26.52043,197,52.370853
34.558632,83,52.700937
30.221122,67,52.993968
53.746252,59,53.282941
31.576789,50,53.547707
44.415106,53,53.75196
40.48592,128,54.009645
66.478775,25,54.159323
25.266277,141,54.457386
32.448876,86,54.661848
15.224173,56,54.854944
55.362618,23,54.977856
48.157775,51,55.135984
23.530232,76,55.328745
49.813806,94,55.570369
46.618209,52,55.747423
50.306261,69,55.92655
50.699238,87,56.152294
64.970852,85,56.340879
19.122063,117,56.557622
43.642802,84,56.744729
31.839111,110,56.996561
46.018652,67,57.18598
-5.969136,196,57.505261
22.925809,146,57.822598
-7.480143,166,58.138834
21.518832,185,58.466568
47.401253,118,58.708086
18.450562,135,58.982035
17.36268,127,59.24975
28.69306,33,59.391227
19.15167,72,59.577295
34.06208,121,59.8295
28.491099,48,59.994521
43.213051,49,60.12572
34.694768,113,60.378926
55.720436,47,60.548578
13.195182,140,60.816109
22.017266,178,61.117981
69.021172,46,61.278917
31.683792,145,61.520698
46.520373,220,61.933972
32.22874,138,62.207865
38.548318,131,62.475246
18.218972,196,62.832816
18.694141,205,68.616237
10.368441,240,69.05005
-33.41714,264,69.458377
42.14614,43,69.617031
26.333314,51,69.805309
7.886587,205,70.151284
14.069321,147,70.447248
-3.96178,120,70.691993
36.979754,199,71.04542
49.216968,44,71.181374
47.583727,65,71.328587
25.546132,190,71.675694
51.563928,80,71.897126
53.512699,45,72.037057
16.747407,128,72.302206
17.134644,123,72.573958
55.930838,85,72.781578
12.498047,151,73.091657
54.849976,37,73.235144
48.476365,39,73.380713
46.325771,90,73.590214
4.005625,180,73.895627
55.219323,75,74.101886
87.410632,37,74.205965
-15.100134,257,74.680493
35.212523,106,74.896336
42.672215,33,75.055619
40.735035,142,75.326508
4.446464,125,75.585255
76.761163,45,75.722211
30.137104,181,76.063308
38.740659,49,76.276894
55.192181,84,76.48381
32.632115,36,76.603133
62.999186,72,76.769237
50.339484,54,76.940681
65.210766,37,77.077487
28.042689,162,77.406767
45.550342,35,77.560704
5.262497,188,77.94937
47.043951,144,78.231653
25.157339,103,78.449087
23.392885,119,78.691944
6.226959,115,78.937416
58.388793,85,79.140297
58.164645,98,79.383868
16.725469,261,85.044942
9.267647,121,85.300365
55.941694,50,85.450175
19.269916,173,85.759878
35.642688,88,86.001352
42.761675,34,86.160694
31.689337,124,86.415061
14.871599,161,86.729537
41.998627,131,87.028389
62.503688,171,87.344921
35.880937,250,87.738786
-17.972026,251,88.12151
36.859187,165,88.469544
60.689776,101,88.709056
10.640331,267,89.142613
66.601544,27,89.276542
51.493612,76,89.498646
47.661996,68,89.682163
63.015802,151,89.971181
36.056892,307,90.491408
28.766944,112,90.713443
58.8891,23,90.856671
28.168511,69,91.045366
22.278418,171,91.400028
25.255202,196,91.791921
32.984301,202,92.155676
37.122336,94,92.362276
50.964114,132,92.615494
-63.120416,400,93.180318
-50.738105,400,93.803158
32.691063,120,94.43862
62.867213,66,94.777233
18.778037,120,100.773595
19.994339,274,101.257254
76.495551,33,101.521457
40.888498,96,101.865725
3.753122,179,102.432853
39.884686,173,102.794406
29.51434,112,103.059967
29.750292,158,103.35991
54.833907,123,103.622646
19.172593,58,103.771607
56.954687,61,103.944981
52.128923,104,104.183682
78.227497,57,104.378209
10.87296,213,104.776253
27.167049,329,105.334598
21.506486,55,105.531817
-24.612889,348,106.077903
0.618161,334,106.672434
47.001614,104,106.919857
53.938776,132,107.164281
81.975336,198,107.496408
34.547461,299,108.008244
38.724191,170,108.356086
35.946859,229,108.734224
20.237653,317,109.295499
72.757261,216,109.705414
73.110041,255,110.161984
42.050799,98,110.374408
-61.319862,400,116.148623
52.15791,215,116.540185
-39.259063,400,117.129233
24.320451,377,117.732013
-0.430647,400,118.364128
47.685435,334,118.915876
84.631199,277,119.372363
1.787355,161,119.669446
-11.575097,400,120.314851
-13.841333,400,120.970788
15.672744,210,121.391424
8.811837,281,121.911975
-25.533892,400,122.708929
-34.382804,400,123.299929
-28.428949,400,123.936144
-25.557432,400,130.372938
-73.162006,400,131.022311
-15.431266,400,131.661234
-16.517147,400,132.29186
-13.258146,400,132.955928
-25.687477,400,133.578864
50.523421,108,133.806427
3.514628,400,134.411019
-31.261568,400,135.066624
-30.410496,400,135.715474
-1.035496,400,136.430055
3.779198,400,137.710487
66.367905,160,138.313374
-28.680767,400,138.997529
-41.5,400,144.90057
-35.596491,400,145.494545
23.157046,400,146.181164
-1.379097,400,146.822099
-15.311997,400,147.452486
58.01902,43,147.612591
36.600036,341,148.434231
73.402705,393,149.17633
1.313619,400,149.923395
-14.470481,400,150.717566
6.413839,400,151.508633
22.996347,335,152.224587
-4.490015,400,153.025357
8.298593,400,160.015021
-47.0,400,160.71131
-4.286316,400,161.444158
75.194767,378,162.151674
49.72242,80,162.396528
-230.698649,400,163.128346
-2.280365,400,163.882694
-50.787203,400,164.543478
-44.1,400,165.225702
8.85946,400,165.963238
-11.655727,400,166.674747
-47.3,400,167.36272
67.759289,282,167.9658
22.084318,400,168.719708
-13.23303,400,175.074504
