#{"t_start": 1775181275.1052067, "env_id": "None"}
r,l,t
48.1264,43,0.178992
61.201875,60,0.325008
-45.677323,259,0.665019
2.417702,135,0.885574
-27.908622,221,1.571407
23.314485,90,1.769096
52.014751,93,1.962525
-3.070651,162,2.806396
-7.794362,112,3.007501
54.54485,100,3.195237
18.384794,72,3.359034
15.465026,83,3.531157
9.777356,99,3.702034
25.585136,86,4.273222
19.954072,75,4.44276
-29.794801,243,4.729005
19.79989,108,4.950329
20.965651,86,5.547109
-168.921758,400,6.036846
10.071934,80,6.607211
-15.088431,203,6.903341
-13.928407,342,7.727227
16.114937,111,7.956601
2.239203,166,8.200038
33.207672,61,8.342225
46.964983,69,8.535402
49.666473,84,9.044363
15.190361,66,9.234029
33.754614,43,9.379198
-1.505078,117,9.581084
12.021075,122,9.785078
40.521178,82,9.949228
-25.938772,294,10.76146
25.545043,128,10.994054
40.389633,76,11.175803
24.968057,209,12.017265
51.069924,130,12.382991
0.63449,243,20.178818
43.830514,69,20.385154
1.143373,200,20.658143
11.846076,154,21.031616
-46.481374,282,21.849266
-21.890504,240,22.160446
-54.124856,400,23.04562
-2.063315,171,23.678963
-62.49851,400,24.14661
-12.447119,207,24.850644
42.681749,120,25.068612
11.746503,99,25.256784
5.386636,282,26.05599
37.161415,107,26.234973
-51.74672,400,27.089291
-7.187904,275,27.430958
-56.373551,400,28.316853
-23.321313,386,29.283041
9.00166,380,29.755248
21.393208,400,37.742978
8.284081,163,38.378188
18.829719,369,39.019194
42.596088,103,39.625909
30.137236,348,40.134517
44.679306,311,41.019269
34.485083,221,41.332969
-42.057058,400,42.186583
66.036451,141,42.594576
35.244947,211,43.880335
17.551897,161,44.139495
39.43201,225,44.458932
14.298085,294,45.247417
18.665667,288,46.012758
89.780767,211,46.352354
-32.467201,400,47.219371
10.366269,88,47.392813
46.203061,48,47.551798
39.139333,141,47.797217
50.099628,102,48.344172
21.478284,217,48.698608
54.735372,271,49.070236
26.24278,102,49.65574
52.688952,212,56.674458
57.901147,96,56.869327
37.346333,220,57.663021
43.349476,59,57.85953
50.725607,151,58.141636
42.182063,269,58.965626
28.811032,158,59.210889
30.257044,110,59.404715
47.296569,123,59.618605
40.017442,84,60.177931
31.002132,81,60.35587
10.578006,117,60.551139
25.507627,141,60.75732
39.481885,75,60.932882
48.28603,90,61.536558
58.565582,100,61.769099
34.159342,114,61.955681
28.300908,115,62.15293
40.099038,114,62.335323
22.526541,77,62.897654
40.325256,63,63.072534
44.538996,57,63.235451
23.172184,218,63.542693
43.104036,58,63.690961
63.580038,51,63.840882
28.172555,270,64.594844
27.416958,81,64.753311
24.490973,58,64.873276
37.540691,84,65.034162
50.634082,66,65.567445
44.751429,248,65.9374
30.448645,70,66.089584
32.910793,109,66.294989
46.730267,70,66.818758
39.641337,25,66.957025
20.680821,34,67.068793
49.730334,32,67.202977
65.474175,99,67.377
7.451933,83,67.530198
31.222979,58,67.64722
46.239982,80,67.848987
35.114823,78,68.028248
33.451788,168,68.663137
54.364725,39,68.794712
48.52007,132,69.018026
23.700277,210,69.755669
7.711714,69,77.452693
42.823969,152,77.691487
29.649242,59,77.858347
37.345306,49,77.99743
33.193233,80,78.178636
57.910449,24,78.277338
37.209507,151,79.112102
57.449066,132,79.367877
26.61962,57,79.673079
38.075463,41,79.804644
31.653735,55,79.947828
53.018077,35,80.056965
49.27557,71,80.207347
32.694318,185,80.853651
40.564605,21,80.951089
73.153036,28,81.059803
11.442095,79,81.24538
54.176904,111,81.427667
31.316884,52,81.551209
46.210767,110,82.16068
47.101765,62,82.311287
-62.352316,400,82.746985
42.08232,39,83.295882
23.754731,68,83.457944
40.635764,39,83.57426
25.94667,149,83.813991
54.839006,99,83.988934
10.882023,170,84.624661
16.193578,159,84.898474
-22.132463,151,85.141885
23.043634,83,85.317401
44.574939,52,85.44557
