#{"t_start": 1774649672.344218, "env_id": "None"}
r,l,t
-47.728729,70,0.125684
-92.27508,127,0.282962
-53.463556,48,0.339075
-69.735381,72,0.421174
-18.966125,30,0.460395
-10.169425,28,0.491008
-20.033385,15,0.52825
-72.403198,55,0.588674
-83.929334,33,0.627785
-63.728499,41,0.678079
-84.732741,100,0.813114
-58.059139,34,0.863191
-42.629385,19,0.897486
-33.537009,30,0.941705
-61.651386,86,1.055988
-56.649455,49,1.11097
-71.646861,20,1.138155
-78.129559,60,1.215333
-73.089157,31,1.26613
-56.590517,30,1.304341
-48.557107,34,1.350016
-83.893996,149,1.511345
-67.642749,47,1.566161
-103.319233,77,1.644459
-23.139625,40,1.687474
-59.599861,26,1.718626
-54.343994,26,1.755075
-40.733384,35,1.822832
-41.169755,19,1.90194
-52.040593,114,2.056808
-47.402453,53,2.13531
-39.065609,77,2.246248
-16.641092,34,2.303144
-55.368823,57,2.368828
-58.474192,41,2.414993
-31.339238,77,2.499203
-65.759056,73,2.579136
-87.298954,74,2.657527
-20.617137,46,4.600088
-30.077128,96,4.710422
-43.281906,41,4.760246
-73.775148,53,4.818487
-85.46439,93,4.933478
-24.312119,38,4.978089
-4.127789,39,5.026556
-56.852383,61,5.09689
-32.311508,48,5.168704
-78.052887,79,5.273775
-52.468878,96,5.412355
-68.040081,49,5.466929
-34.326186,36,5.515335
-46.464864,27,5.550644
-70.991276,25,5.582029
-30.407621,96,5.678628
-58.526268,24,5.711154
-38.922887,96,5.804997
-70.411945,118,5.946551
-34.818743,28,5.981111
-39.380482,56,6.041605
-96.181767,150,6.199774
-7.108825,31,6.25306
-27.130432,81,6.377519
-62.339208,82,6.502693
-62.354491,96,6.605108
-65.494722,48,6.657212
-40.373623,124,6.797002
-38.889588,67,6.871832
-76.919924,83,6.978552
-77.247183,60,8.893696
-69.473434,150,9.083298
-68.256213,94,9.244013
-82.617679,150,9.477224
-40.424565,44,9.569043
-57.547737,150,9.752537
-66.700199,74,9.840382
-27.983957,112,10.066312
-66.580289,143,12.632777
-59.081783,101,12.764672
-72.123553,150,12.95545
-29.815774,94,13.056724
-58.928585,89,13.160642
-20.846229,39,13.205847
-12.156035,86,13.292333
-69.478515,150,13.441848
-72.614124,87,13.529881
