#{"t_start": 1775311089.476406, "env_id": "None"}
r,l,t
83.539019,36,3.221621
46.184694,86,3.361551
53.821292,109,3.587929
76.209718,62,3.760361
94.929758,94,3.964589
62.206101,42,4.095177
46.435542,108,4.294948
51.530801,82,4.510199
48.388299,75,4.706342
40.617496,98,4.908043
86.053013,86,5.113677
55.044504,52,5.267795
42.381989,138,5.524243
78.661401,54,5.701439
92.999998,85,5.899794
22.424476,170,6.189367
68.945313,79,6.370777
36.929008,85,6.639132
48.54597,43,6.883528
58.85865,50,7.006799
124.894523,32,7.149899
110.967139,62,7.311114
67.835546,69,7.472429
93.818353,59,7.635473
22.029342,157,7.89616
80.016643,103,8.118684
49.459642,85,8.334893
54.120144,52,8.480141
61.0703,25,8.596533
52.243476,58,8.748344
46.356327,94,8.947113
85.632184,23,9.077882
38.153951,152,9.329665
52.148391,51,9.468739
92.852459,83,9.675217
85.984782,66,9.852008
50.405482,76,10.047319
5.43981,167,10.337367
64.99405,29,10.4872
63.870697,64,10.669028
103.520858,32,10.812681
23.963645,125,11.062211
37.698138,127,11.353618
53.403277,45,11.500949
39.792555,108,11.740013
48.351892,88,11.937706
40.184569,62,12.108122
45.870193,86,12.330764
41.672056,82,12.526452
50.109558,68,12.709208
47.411403,80,12.913567
76.575499,60,13.100502
68.179015,37,13.224683
55.084276,58,13.385509
31.920335,84,13.600097
79.534267,55,13.77666
60.773954,38,13.944494
53.065282,82,14.14377
7.655187,183,14.5064
74.932536,83,14.703157
33.983435,128,14.961313
55.602193,100,15.185158
45.675471,102,23.271147
54.155139,58,23.430614
46.633022,86,23.653083
65.754594,29,23.803619
71.8789,69,23.994164
48.304251,60,24.182513
62.654054,43,24.335586
45.263412,91,24.694889
108.249019,29,24.829087
107.700724,29,25.043979
55.642381,62,25.262809
46.070668,61,25.448257
59.30042,33,25.594906
73.615382,86,25.817153
67.329476,83,26.07055
49.479749,147,26.403336
62.539375,57,26.572064
74.813979,50,26.723437
73.64851,69,26.913328
58.368053,57,27.113048
47.610629,73,27.311049
46.276111,56,27.469027
70.486865,73,27.63515
51.786403,56,27.832339
89.076731,44,27.997335
55.889369,33,28.135583
62.532293,45,28.326446
96.107811,53,28.479803
68.798457,92,28.701004
8.461105,136,29.001882
69.225591,102,29.260403
64.662903,98,29.493512
47.290528,92,29.708282
57.098785,39,29.844692
64.750864,33,29.967094
35.285808,96,30.197212
55.912953,59,30.377272
64.179037,57,30.543112
54.692126,130,30.840828
92.609483,33,30.982362
94.741464,68,31.185875
55.202188,66,31.39066
46.473775,133,31.631505
107.959852,12,31.757405
37.527698,93,31.956885
2.413372,180,32.295451
70.025464,55,32.478568
35.041269,103,32.71207
59.248654,41,32.848299
100.9182,57,33.040301
110.555264,48,33.238606
68.402859,106,33.445128
51.947971,71,33.604059
75.715517,71,33.780059
54.972543,89,33.997935
111.171846,67,34.219279
44.646344,47,34.362277
53.921071,34,34.482536
99.687419,16,34.597963
77.654674,44,34.762665
37.663585,122,35.022987
34.826951,133,35.32497
64.672148,60,35.518743
76.354722,46,35.706825
79.211815,39,35.862469
53.765476,31,36.044298
99.287591,74,36.268292
68.427021,70,36.469969
44.74883,104,36.678229
81.780623,46,36.836838
34.920549,120,37.116535
62.002436,57,37.290775
75.411844,40,37.462811
48.226288,66,46.877834
95.412667,62,47.063553
50.757848,111,47.318226
73.730067,36,47.482379
64.377422,57,47.663929
50.212535,60,47.863633
39.776195,94,48.221877
62.511765,47,48.34692
99.812865,35,48.508386
24.931313,145,48.785804
-45.342301,352,49.359995
72.88009,119,49.65547
33.520118,117,49.908431
42.229523,82,50.133072
48.683728,92,50.322187
50.679766,61,50.475494
65.619184,22,50.6141
80.503322,38,50.740452
128.125099,18,50.871837
101.646605,29,50.995602
75.394917,33,51.172762
58.085122,73,51.39474
53.543955,100,51.596781
-14.091785,242,51.979133
55.752836,25,52.128572
57.909854,43,52.274225
12.676973,167,52.574016
58.672737,51,52.716784
92.665797,98,53.215346
33.023005,105,53.430445
90.584235,104,53.686012
77.791122,42,53.81409
23.19548,180,54.193414
86.62717,27,54.308626
28.112193,107,54.543378
51.255923,58,54.708857
54.788498,74,54.907185
54.2118,72,55.131421
84.587421,29,55.261598
81.90781,16,55.395444
89.079437,54,55.555444
42.99717,101,55.785619
43.293315,101,56.02371
49.124332,65,56.226856
67.464852,31,56.364022
89.35337,36,56.523301
47.749983,80,56.738385
42.026175,135,57.044184
44.211848,88,57.277936
71.119201,87,57.515218
73.791127,78,57.706427
22.376225,130,57.992714
55.805314,79,58.226684
64.433482,53,58.357755
26.126528,188,58.706206
