#{"t_start": 1775157846.91529, "env_id": "None"}
r,l,t
44.584405,66,0.134865
-43.911746,279,0.586142
46.559404,78,0.7828
46.777334,84,1.04467
0.726199,120,1.301039
-3.631116,84,1.49178
47.88001,27,1.619637
-31.329225,233,2.04684
-42.422255,226,2.434064
35.857869,26,2.574646
-1.76802,111,2.809199
30.666015,133,3.073886
-39.377905,170,3.362303
21.362405,46,3.533292
15.088768,129,3.794829
54.628915,57,3.966861
67.421113,85,4.16267
-5.506275,70,4.374591
52.820209,67,4.550029
22.598284,115,4.841151
2.249224,75,5.07221
-6.937776,179,5.559093
23.214883,93,5.909651
-27.752284,217,6.806519
23.375959,151,7.211274
-35.209284,236,7.671714
-25.219298,243,8.088521
31.737946,96,8.335156
-30.647405,216,8.729729
12.712587,82,8.950147
47.18547,39,9.109244
9.642202,162,9.414152
36.068952,155,9.723441
-32.147768,146,9.990867
-5.288099,110,10.223964
35.815516,44,10.388888
22.962609,111,10.703772
2.91635,90,10.92028
19.143894,59,11.092444
27.818533,34,11.230389
28.92558,102,11.458444
7.708177,115,11.733468
41.048639,94,17.98072
11.319863,57,18.166119
-1.89629,86,18.431979
46.806071,40,18.576053
68.445626,70,18.776397
18.918278,176,19.14576
14.195742,92,19.398147
-44.531799,166,19.732353
23.313128,51,19.91354
-4.954591,136,20.197548
18.126425,160,20.542273
31.62546,101,20.784515
6.196777,100,21.014011
23.365627,147,21.29724
36.225198,20,21.416124
7.676529,165,21.719167
37.320738,86,21.91762
-13.104297,147,22.300307
43.916162,126,22.56566
56.251152,135,22.864282
2.051543,114,23.114715
20.516928,99,23.370591
2.210196,121,23.64379
28.792436,133,23.937387
11.857393,64,24.106385
7.898233,78,24.329241
25.507319,65,24.518843
23.050687,84,24.704123
24.588655,89,24.899669
17.834464,48,25.091688
7.077693,62,25.27803
-2.742715,143,25.565583
59.874025,55,25.729742
24.257627,69,25.933773
55.217103,38,26.112701
-3.380902,215,26.518449
3.045134,101,26.730006
35.303018,51,26.908052
2.212771,148,27.179106
-25.309224,242,27.629038
41.949996,55,27.792849
10.252391,99,28.019962
34.612969,79,28.226833
-12.408107,154,28.541475
19.452431,205,28.930012
78.580884,21,29.056407
-26.672573,195,29.445333
19.44737,150,35.597627
66.247518,114,35.875976
21.250435,108,36.149446
29.482948,68,36.344859
34.737129,113,36.6093
19.060966,172,36.94605
34.295954,72,37.119902
28.284055,34,37.284862
48.672927,46,37.469221
-13.182627,160,37.791412
-0.978363,72,37.984376
34.937352,123,38.269454
40.519443,41,38.414603
-22.986344,210,38.794365
41.905085,95,39.010345
32.065051,66,39.185916
40.559388,67,39.380905
32.316101,44,39.547683
78.505605,49,39.706679
24.523117,129,40.053904
66.821026,17,40.261646
-15.287105,136,40.549674
49.108209,73,40.748566
-7.079953,195,41.08862
1.722054,107,41.320683
43.656934,70,41.542581
43.067744,80,41.730541
10.193096,112,41.980903
24.510052,103,42.22192
35.949639,124,42.478533
13.572753,111,42.729079
11.702094,98,42.955224
2.878061,50,43.122577
17.512679,25,43.246408
47.483095,30,43.379905
18.130652,63,43.578168
-14.388787,204,44.196589
49.450402,78,44.414078
7.289109,76,44.622276
57.872694,24,44.737031
39.303483,69,44.923461
3.270345,119,45.186709
18.207042,155,45.487707
48.249096,25,45.637441
8.984111,128,45.911499
-48.196216,237,46.383466
40.377391,92,46.60942
49.662797,49,46.77835
64.093972,58,46.953958
23.77806,46,47.11177
15.305684,55,47.308269
43.135343,90,47.568886
18.686919,118,47.854145
29.118596,67,48.067915
34.22587,73,54.109094
69.607898,123,54.353792
12.419762,73,54.5774
34.372266,77,54.802171
57.37247,31,54.950523
41.52419,106,55.173875
69.463476,27,55.308004
38.751641,50,55.475649
3.406079,130,55.76032
47.729555,50,55.930212
2.396293,97,56.160034
38.322519,32,56.296817
22.891841,128,56.588257
55.167933,95,56.819896
20.467959,85,57.031807
53.98571,52,57.214027
12.376743,73,57.388572
19.906734,110,57.637023
30.089891,43,57.773787
14.961091,169,58.100052
31.66169,83,58.332761
33.191552,75,58.550838
58.488423,72,58.740337
37.937399,152,59.068886
31.750767,170,59.394986
-1.35354,204,59.832564
29.946585,48,59.988015
32.827235,50,60.139564
23.052459,57,60.317314
45.157302,57,60.480694
23.100676,58,60.660034
27.753517,82,60.88964
45.483486,138,61.181879
22.762421,70,61.363993
35.495807,66,61.560705
-40.75229,234,61.978347
47.686043,104,62.213979
31.561631,135,62.516237
-5.144639,218,62.922307
63.49945,61,63.10095
23.635249,44,63.274602
18.257144,106,63.519935
37.2159,75,63.755751
31.848131,78,63.968011
12.185638,129,64.245391
24.533898,66,64.438716
19.51937,119,64.695408
25.938591,87,64.925924
-2.878024,235,65.374007
30.365421,63,65.547315
39.954067,68,65.727229
13.102395,93,65.96756
32.335827,73,66.138117
30.175818,163,72.909853
0.199063,159,73.235865
-4.481811,119,73.497641
43.174626,31,73.647797
31.026641,92,73.872008
24.063177,42,74.023699
48.726719,82,74.233788
17.474474,31,74.388253
18.076965,61,74.568438
33.909178,80,74.77436
22.226486,95,74.990647
15.263302,107,75.258824
67.145826,64,75.43485
-2.881685,153,75.773965
31.756759,106,76.023766
44.354962,145,76.583008
61.761864,54,76.772846
55.624374,53,76.928462
-5.034455,136,77.245466
62.540353,54,77.42521
36.90957,192,77.809189
44.460884,100,78.041585
27.53272,41,78.207472
14.500904,85,78.413078
-12.021993,196,78.800881
13.973077,31,78.947027
-1.415383,148,79.271435
33.234758,64,79.44626
55.401584,90,79.64952
-11.224832,76,79.857044
48.728102,76,80.035123
65.15764,62,80.224026
0.506385,189,80.594377
52.927763,47,80.791092
60.27204,106,81.035308
-3.670612,55,81.203654
51.124677,61,81.408358
9.295624,228,81.825097
36.759201,76,82.012662
27.576836,58,82.180257
35.675311,81,82.386436
0.758521,81,82.589719
54.079023,65,82.79012
0.07772,122,83.103889
3.385515,148,83.440518
12.314108,117,83.700328
48.834672,44,83.873425
62.74932,83,84.100706
21.804996,146,84.417622
53.482169,91,84.624335
7.240891,168,84.955966
39.201913,66,85.149478
14.856993,66,91.016084
39.948101,72,91.192682
20.127863,153,91.511397
42.089759,61,91.708492
11.315279,127,91.96342
1.478382,98,92.221878
75.051532,34,92.361932
31.9211,48,92.519611
28.018044,55,92.704641
48.593367,26,92.844728
68.536404,29,92.99274
28.510902,186,93.368764
33.004846,89,93.604954
22.553692,92,93.84796
17.5519,172,94.180487
6.272156,91,94.428385
42.986694,71,94.641035
19.319852,55,94.846005
12.779019,92,95.101224
12.312897,124,95.380887
32.69416,84,95.588749
31.346088,33,95.714314
79.904659,75,95.951557
24.023552,104,96.167328
27.061058,83,96.3864
56.488251,23,96.520408
23.532633,95,96.769519
19.688586,73,96.954429
30.463169,69,97.126966
17.396881,103,97.389832
34.737975,95,97.645142
35.349539,51,97.813404
28.13583,79,98.030627
47.760379,95,98.284238
23.929925,104,98.54848
35.868109,92,98.790235
39.644739,90,99.006699
61.201137,139,99.351321
29.111317,44,99.488394
42.495691,85,99.711221
19.977608,178,100.183903
24.040454,71,100.514461
29.744324,74,100.70815
28.292358,129,100.986813
10.946268,69,101.201681
-16.567889,215,101.643149
40.179965,107,101.902059
43.49815,42,102.077341
5.407993,123,102.372069
39.830431,28,102.509603
43.428331,53,102.669651
17.496094,62,102.856304
29.153072,190,103.24917
53.102139,42,103.425497
27.572411,144,103.721012
20.312665,128,104.238705
20.071935,86,111.241514
46.762937,41,111.464353
-3.781632,213,112.014122
18.76964,96,112.329667
28.387134,50,112.555571
48.222896,88,112.866938
51.045525,172,113.306552
55.291233,94,113.597642
0.050788,110,113.953062
57.964152,67,114.288522
27.662553,193,114.671629
21.292488,195,115.054559
28.343794,33,115.193148
42.824454,84,115.449322
44.981199,92,115.680029
65.182563,78,115.884856
48.669304,42,116.028036
27.102061,41,116.182456
11.877436,115,116.471984
66.24423,34,116.630315
21.597321,173,116.990609
41.001353,83,117.201257
-2.70745,204,117.585424
21.398671,109,117.827586
55.617873,31,117.998185
52.867904,46,118.164526
41.806787,51,118.317886
54.357518,44,118.464127
30.755633,30,118.606098
48.810535,36,118.749794
-5.149579,276,119.223153
34.222158,68,119.432685
33.456212,52,119.629768
31.619497,69,119.85944
51.548674,94,120.104737
13.404954,94,120.310357
24.992281,124,120.591442
-32.738473,265,121.128237
35.564014,24,121.263407
34.475985,69,121.44919
-7.676923,248,121.897228
42.448048,167,122.267449
42.57774,68,122.466095
45.495011,100,122.727372
29.569982,43,122.901024
35.249939,69,123.113259
7.523237,233,123.52809
41.776797,88,123.768048
57.275894,73,123.990241
43.932145,64,129.95199
40.466287,121,130.223437
15.808084,139,130.548587
54.031055,30,130.695285
78.987031,84,130.921359
12.111515,88,131.16448
19.574916,116,131.417511
70.172951,57,131.593436
46.175404,47,131.756835
48.797667,46,131.930392
15.823022,97,132.167624
14.258413,249,132.635309
-76.165699,400,133.329545
43.930133,94,133.545362
11.457074,77,133.733698
28.742276,84,133.956863
41.626455,108,134.194748
35.821191,69,134.392053
43.771114,37,134.545089
-18.628388,197,134.928329
34.503482,120,135.226751
60.675213,49,135.415262
59.651244,28,135.584131
34.929787,26,135.7106
41.300604,41,135.876423
-3.512154,169,136.256349
13.350226,167,136.615592
38.851465,59,136.789645
37.579937,56,136.963826
32.505761,73,137.161148
11.667756,99,137.380262
22.186825,46,137.547251
4.484756,43,137.732313
-8.689438,126,138.027281
9.853208,131,138.364516
63.635286,83,138.628515
22.300533,112,138.880206
50.875586,59,139.049587
20.480647,67,139.289058
23.751406,44,139.450558
12.594275,110,139.701014
35.519896,142,139.9882
26.925619,40,140.176025
38.097719,90,140.405873
67.564118,43,140.579922
29.338633,210,141.003902
17.993945,145,141.316069
10.190296,202,141.735517
9.346531,131,142.061556
95.118207,40,142.277964
29.296099,54,142.440919
63.508997,38,142.595263
42.909157,71,148.544508
38.756541,83,148.771508
54.082466,76,149.027296
12.667489,59,149.25946
14.999422,39,149.422367
65.921513,39,149.558195
67.406331,62,149.747658
46.351129,42,149.886053
21.26995,90,150.109444
23.957448,93,150.334108
51.614803,60,150.553421
47.29666,57,150.741609
22.537814,107,151.016705
18.924924,226,151.424654
-53.912931,341,152.060329
27.164605,81,152.254824
30.565659,21,152.374989
6.258098,157,152.704854
26.432657,110,153.0113
12.769142,45,153.185002
18.948788,186,153.554138
59.567483,38,153.689107
47.99566,43,153.867078
29.429377,86,154.13561
7.187603,208,154.747344
33.146848,26,154.972349
29.386024,87,155.381695
39.15874,45,155.618046
-1.220035,114,156.093075
23.975158,46,156.345496
22.209389,205,156.748052
38.220108,34,156.902603
54.902149,97,157.144958
-10.028443,223,157.577037
38.504985,51,157.766193
-6.338235,191,158.163564
33.407164,46,158.338252
29.047357,34,158.477114
31.08521,91,158.749194
41.593438,77,158.953144
-4.017557,274,159.453246
34.981228,37,159.626
62.713898,114,159.896609
-2.442279,88,160.254083
9.732918,67,160.46987
10.998735,158,160.875821
4.724873,105,161.154734
-8.413149,122,161.466244
65.080784,43,161.650957
4.06444,134,161.940063
79.592354,27,162.080634
31.549837,64,168.342988
36.662203,78,168.548509
30.326486,51,168.7085
20.113024,81,168.904768
29.641358,83,169.139374
44.397651,65,169.334056
28.885895,161,169.661518
46.769401,36,169.836747
12.273808,98,170.097057
4.745588,165,170.417176
25.123375,112,170.695824
26.449851,68,170.899453
45.725716,106,171.136625
34.43521,85,171.358999
40.377807,51,171.540316
28.932368,117,171.835815
36.731168,66,172.02857
60.047619,65,172.257029
24.922447,72,172.449682
28.563104,48,172.643832
15.34036,150,172.987606
70.921705,36,173.137521
12.66927,91,173.353755
28.088416,65,173.556056
16.150052,89,173.791295
23.623131,76,173.995768
40.399728,240,174.436757
60.819949,27,174.596989
75.241029,145,174.914078
26.039171,57,175.07858
32.465852,129,175.375245
21.199019,160,175.720289
58.884289,44,175.917328
80.613852,29,176.074196
31.351448,110,176.355581
40.755695,114,176.587262
-21.316692,151,176.901216
59.723116,65,177.10376
54.2274,134,177.436985
42.012118,82,177.633172
76.757134,75,177.870015
41.88887,38,178.047515
5.458634,185,178.502466
75.58939,74,178.718822
66.087934,51,178.913696
14.420335,119,179.18709
44.675059,61,179.401128
-2.248232,202,179.806583
43.096917,39,180.269722
17.185805,88,180.531702
52.866204,42,180.696573
53.849531,27,180.817055
35.899862,47,181.008593
50.626039,93,181.255548
33.19103,124,181.521149
26.249196,160,188.185393
41.787903,80,188.397515
7.312659,177,188.808354
31.96368,85,189.053003
67.788013,53,189.231848
56.770843,48,189.408458
27.231816,63,189.598933
20.755956,186,189.971528
51.875818,70,190.19079
-17.728337,304,190.813545
58.007522,37,190.95401
46.335244,120,191.235387
-12.637852,176,191.570492
27.124439,76,191.814229
11.609305,198,192.208503
54.278773,37,192.344225
21.300181,31,192.490568
27.306088,114,192.750891
16.45732,136,193.100624
-9.657795,144,193.427461
18.46556,65,193.626173
43.929458,111,193.886521
48.213684,127,194.185582
9.586324,96,194.412073
30.198475,87,194.640053
59.461519,59,194.831989
49.706262,79,195.057585
47.077106,95,195.264661
11.777752,108,195.550593
9.666677,154,195.897327
25.765081,94,196.133886
-14.543384,138,196.424382
49.116854,52,196.590621
27.241445,109,196.850203
54.722352,68,197.071323
45.944217,174,197.473352
42.889726,70,197.695024
12.56232,181,198.090629
58.154823,68,198.283091
43.182625,34,198.442896
6.353725,112,198.708269
73.586735,47,198.861605
58.665619,72,199.092664
48.162836,34,199.267277
20.963891,133,199.608175
24.709427,98,199.836534
58.027711,70,200.066332
40.37795,88,200.281051
37.263928,117,200.587423
45.219099,78,200.788828
28.738878,139,206.818599
54.323028,28,206.985196
33.647725,63,207.153479
38.837461,60,207.345543
28.659564,81,207.569352
46.077825,47,207.739512
-22.054195,265,208.26751
56.303628,47,208.42573
45.078228,36,208.571664
44.309679,42,208.744109
44.211911,69,208.969602
23.394665,85,209.17327
15.029382,150,209.523471
48.952875,49,209.715898
