#{"t_start": 1775175136.83136, "env_id": "None"}
r,l,t
12.522138,104,2.978887
14.0431,144,3.213061
35.581491,51,3.345189
14.475354,95,3.511705
71.80873,55,3.659608
7.531865,100,3.826369
30.532425,59,3.970206
-39.749627,175,4.24287
0.454986,86,4.41472
5.898799,41,4.514718
10.059449,86,4.691743
54.476998,55,4.813569
54.912786,144,5.02542
4.217155,102,5.225494
48.224344,68,5.372352
21.877684,86,5.532111
19.893392,81,5.711404
-29.159775,133,5.907459
53.782559,27,6.013711
12.583906,88,6.160784
5.437894,125,6.375286
6.175164,98,6.652971
32.750487,79,8.534133
16.884217,94,8.711591
25.906299,51,8.849637
7.119977,169,9.11598
0.671069,69,9.252931
14.336591,151,9.497882
14.169093,93,9.664012
58.409212,83,9.807397
42.027606,104,9.993186
20.139223,54,10.143713
29.650429,93,10.330568
-18.296415,181,10.592718
31.351962,19,10.680361
42.697438,87,10.849526
-14.498244,143,11.062821
23.50437,78,11.220915
25.899362,63,11.344185
10.590604,113,11.534579
38.580844,39,11.652154
4.015927,81,11.80721
14.429099,81,11.980644
-13.773268,85,12.172096
34.396878,76,12.355267
12.130907,185,14.197316
40.701794,133,14.387742
73.579498,27,14.474415
22.05865,61,14.617047
33.579535,57,14.746803
-51.2892,274,15.102327
31.297449,127,15.311907
15.390466,93,22.116686
46.237509,58,22.272069
35.76507,67,22.426215
30.726253,94,22.607521
-6.10841,163,23.068094
34.239625,111,23.534796
46.760226,104,23.923384
-18.053878,109,24.245428
43.305125,64,24.534792
25.400472,54,24.769504
76.696051,44,24.979397
20.313725,80,25.254516
44.71977,99,25.557391
95.860253,15,25.661386
35.628736,31,25.768528
29.411182,71,27.433504
48.602481,98,27.610405
34.813002,113,27.7905
36.426467,51,27.929914
3.935735,148,28.163992
14.386064,77,28.328413
18.480068,75,28.501422
46.44143,39,28.611476
64.64849,43,28.737286
69.123495,33,28.838446
17.235126,73,29.008705
48.678895,111,29.188676
-7.344086,85,29.327155
-6.29764,124,29.535207
54.749881,67,29.671134
15.062958,88,29.823622
34.901007,65,29.969487
42.634763,57,30.133618
49.459836,38,30.288223
13.923915,96,30.459527
16.00897,52,30.603553
4.675731,141,30.807972
30.725272,43,30.912647
58.954313,32,31.057208
16.085291,157,31.287021
35.338016,56,31.424948
2.053758,54,33.111336
79.111663,22,33.237422
52.453879,44,33.348862
62.734072,84,33.504232
23.479459,101,33.700357
-9.049434,172,33.962916
26.205883,176,34.218947
39.426946,44,34.345879
68.805834,55,34.47464
65.617038,67,34.620116
39.882587,44,34.743587
25.419068,81,34.905026
54.436308,31,35.013966
18.084702,119,35.198818
42.096559,62,35.339432
40.536983,41,35.47275
60.520838,35,35.563641
33.561343,78,35.722548
74.641112,62,35.87033
64.079083,20,35.949976
9.211863,158,36.188775
33.808796,128,36.396266
11.750663,60,36.537011
18.29068,146,44.100921
45.353726,33,44.198064
-6.538902,104,44.379469
23.654948,137,46.60051
34.997356,107,46.821347
7.521016,146,47.051117
69.616746,20,47.139372
20.357077,54,47.261147
16.310441,118,47.448146
48.719341,59,47.591872
29.550926,47,47.715572
42.674677,84,47.880416
8.866793,121,48.091701
74.703623,58,48.227298
65.478525,75,48.381526
50.415239,44,48.481513
37.81359,67,48.661279
19.603735,79,48.805795
36.907282,32,48.904572
26.12029,75,49.079611
24.915318,60,49.205813
57.320264,74,49.359834
75.932339,51,49.479388
69.21483,34,49.612328
35.603059,82,49.766457
27.910146,82,49.922498
52.401349,84,50.103699
29.739609,68,50.240348
-4.183689,66,50.386279
14.602073,130,50.58636
4.843622,59,52.297459
41.747555,70,52.464056
59.344246,45,52.590792
49.535743,55,52.739769
40.827358,27,52.850388
48.376787,15,52.934507
37.463736,101,53.101449
18.605544,93,53.266617
58.031096,46,53.383393
33.102443,39,53.497059
64.507461,69,53.646732
26.931103,89,53.832214
-5.053229,153,54.060938
14.071471,81,54.254137
46.940494,66,54.375103
35.495699,25,54.470424
17.103934,66,54.613796
35.756626,55,54.772171
24.008389,61,54.934694
-5.425978,60,55.076839
39.276367,34,55.213884
1.739288,81,55.356386
40.071121,68,55.503352
27.344433,182,55.762131
60.749028,31,55.880754
44.62245,87,56.041762
8.268365,144,56.24288
41.711215,46,56.369157
23.055337,29,56.46287
45.858912,78,56.60339
8.136365,264,58.494376
26.823302,22,58.59862
60.906152,45,58.723304
15.910177,106,58.912695
35.983567,34,59.028545
57.313604,32,59.153417
18.701724,91,59.310749
45.296421,40,59.419124
74.094157,60,59.557957
70.12103,70,66.261901
33.302929,111,66.435151
24.673728,108,66.645758
43.168759,80,66.816283
45.68428,35,66.936738
41.019306,56,67.055483
54.187783,79,67.210684
44.945201,25,67.444287
32.376722,72,67.626193
69.959989,35,67.721864
24.892543,75,67.920803
18.887569,155,68.19041
51.365409,21,68.301622
15.561073,81,68.459888
54.813067,39,68.564334
29.569839,33,68.705112
50.655848,61,68.831858
46.89527,50,68.95097
61.294515,33,69.052347
54.110286,61,69.204737
21.110308,50,69.328335
42.20615,75,71.001953
56.539905,85,71.234194
43.47276,31,71.356819
70.101016,51,71.485782
42.35987,28,71.583781
77.454349,57,71.723478
89.281358,60,71.849964
15.145352,152,72.071416
54.940249,43,72.238039
22.43532,59,72.426974
25.523487,87,72.582177
47.497219,81,72.744356
48.774236,58,72.877113
54.960305,20,72.995512
36.19571,66,73.145223
16.53136,29,73.249414
21.725898,55,73.374688
23.346818,54,73.510221
29.850308,96,73.668314
8.804142,153,73.90581
46.305015,72,74.064343
40.34442,153,74.306126
36.467571,47,74.416686
56.101182,148,74.628416
48.388271,20,74.72834
20.733462,68,74.881247
48.917581,79,75.018488
43.871368,77,75.174
20.178951,111,76.846237
54.452529,66,77.019705
35.096709,19,77.105192
25.362207,59,77.223559
33.927932,44,77.349981
49.824913,56,77.49719
40.168576,34,77.598137
49.351354,102,77.762754
23.480952,96,77.931156
47.815849,53,78.044258
42.762688,29,78.170656
59.236734,28,78.273396
59.315978,23,78.376748
43.421169,64,78.548135
31.886695,23,78.653251
39.322563,106,78.838917
69.258508,48,78.997945
30.097907,171,79.239564
28.766905,44,79.347044
66.12652,22,79.484508
24.294469,43,79.589792
33.36899,58,79.72492
45.533049,239,80.048798
50.111687,35,80.150102
46.89654,33,80.243819
74.069826,71,87.211824
58.943551,91,87.393704
34.396942,102,87.556407
46.017778,50,87.700132
51.8415,64,87.833064
35.615436,167,89.823775
93.154397,11,89.939536
42.548133,45,90.094094
19.444708,155,90.598772
38.289339,41,90.82357
69.828948,69,91.129235
54.653323,35,91.408355
28.683274,187,91.82907
53.790327,77,91.980813
29.827627,59,92.110307
13.793004,67,92.24182
28.937285,42,92.368847
47.812151,36,92.611938
35.55778,71,92.892582
46.001135,134,93.170396
52.762043,42,93.277678
70.859133,53,93.40863
57.694795,54,93.546536
69.120739,92,93.807871
30.541972,59,93.987175
37.291189,86,94.160848
11.511085,175,94.412205
14.158293,99,94.583348
36.010511,45,94.704565
61.832574,29,94.836603
51.683871,133,95.036942
82.888225,19,95.148351
33.953254,164,96.884998
39.9334,54,97.238431
79.275463,30,97.484147
31.399017,20,97.591635
12.573273,65,97.738793
54.384087,35,97.855949
31.193564,93,98.034504
56.123513,56,98.166064
52.04287,56,98.28625
18.551071,109,98.485712
37.331842,21,98.578038
81.031111,54,98.714905
70.567289,35,98.82878
41.859418,18,98.918509
21.953415,68,99.070623
44.053678,42,99.200231
44.383599,96,99.352374
32.508192,53,99.481019
44.042589,41,99.622375
69.603316,99,99.781358
40.566786,34,99.885762
57.311456,52,100.03168
47.751794,110,100.297959
54.824278,40,100.413795
15.751268,155,100.654744
58.857802,45,100.770901
27.45245,254,101.091206
77.305473,17,101.193218
39.026548,124,101.391595
57.767707,15,101.473952
27.70216,100,101.668204
25.018611,321,103.646495
17.102587,301,110.87922
46.036437,80,111.035302
19.322676,256,111.393209
34.073567,68,111.539256
75.172811,15,111.627211
79.819181,35,111.751791
34.156619,173,112.141965
59.649113,37,112.260395
66.19909,92,112.485601
50.152307,32,112.591022
77.101102,54,112.723768
56.262508,33,112.864623
72.072329,15,112.93361
31.274906,217,113.231661
30.369521,84,113.403349
4.415184,114,113.57794
46.022674,34,113.685266
37.772072,59,113.812634
42.226428,27,113.938693
48.762309,46,115.544627
1.365013,97,115.753554
23.444147,50,115.877028
23.449953,39,115.995871
58.210867,22,116.096538
51.846153,76,116.264065
29.714346,48,116.383492
57.112429,115,116.591923
51.429732,23,116.675325
48.290281,56,116.813247
23.196566,54,116.956779
43.491412,47,117.079611
51.877035,75,117.214983
41.801503,31,117.326288
2.411398,326,117.736169
48.214865,62,117.857247
69.74785,84,118.024121
26.272399,31,118.121962
64.298723,22,118.21435
50.3101,50,118.349133
68.958751,40,118.49718
63.865393,47,118.625955
33.855516,53,118.775162
65.413695,35,118.9069
36.585843,69,119.077026
57.083068,26,119.171507
57.314275,38,119.286574
58.325457,65,119.412413
18.027088,90,119.597299
30.889361,130,119.79727
26.234579,181,121.665377
42.523135,42,121.795101
43.2414,25,121.904553
38.324404,37,122.02048
47.715007,28,122.125571
31.968783,54,122.248368
60.902504,27,122.35323
48.61042,55,122.477368
55.781669,92,122.672839
29.061542,126,122.896933
44.713489,204,123.185745
17.215846,101,123.352837
25.036276,110,123.533089
34.864402,81,123.701843
39.84218,120,123.897324
57.447856,69,124.067533
50.634211,28,124.179816
55.289981,11,124.280716
76.282754,41,124.406579
48.677051,155,131.360838
55.054914,103,131.55057
58.048186,96,131.722243
41.839511,117,131.924579
80.071609,26,132.013682
76.440707,28,132.154997
46.741172,70,132.367493
42.40995,50,132.578945
58.242814,27,132.709987
40.698968,111,134.539746
36.860521,95,134.742232
42.662416,20,134.84696
54.55856,21,134.954589
55.674706,27,135.07036
74.544876,46,135.264275
26.317607,39,135.374292
44.656233,69,135.509864
41.083686,32,135.632448
52.681405,28,135.730905
53.656258,137,135.934804
59.105233,49,136.067283
